window_days,min_cum_ret,start_idx,end_idx
1,-0.320550,200,200
3,-0.392306,198,200
7,-0.392306,194,200
14,-0.490413,34,47
21,-0.484556,180,200
30,-0.595931,173,202
40,-0.310106,161,200
50,-0.355181,158,207
60,0.026269,145,204
70,0.432913,173,242
80,0.648501,177,256
90,0.756163,145,234
100,0.906444,104,203
