n_removed,days_removed,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,3.5342,16123.45,-49.125,0.0,0.0
1,53.5%,3.3979,10980.29,-50.17,-0.1363,-5143.16
3,"53.5%, 49.5%, 48.9%",3.1117,5319.52,-50.17,-0.4225,-10803.93
5,"53.5%, 49.5%, 48.9%, 41.6%, 39.7%",2.8219,2836.03,-50.17,-0.7123,-13287.42
10,"53.5%, 49.5%, 48.9%, 41.6%, 39.7% … +5 more",2.041,616.89,-61.759,-1.4932,-15506.55
