taxonomy,label,n_days,sharpe,cagr_pct,maxdd_pct,calmar,wf_cv
Volatility,Vol: Low  (rvol30 ≤ p33),274,3.0133,6664.61,-52.246,127.562,0.6038
Volatility,Vol: Mid  (p33 < rvol30 ≤ p67),75,4.4275,45733.91,-31.68,1443.624,nan
Volatility,Vol: High (rvol30 > p67),49,2.3073,1026.97,-34.957,29.378,nan
Volatility,Vol: Spike (5d/60d ratio > 1.5×),46,1.4617,116.53,-9.225,12.631,nan
BTC Dominance,DOM: Low  (BTC mom ≤ p33 — alt-season),158,3.0326,7615.71,-42.601,178.77,nan
BTC Dominance,DOM: Mid  (neutral momentum),173,3.1393,5434.57,-43.066,126.193,nan
BTC Dominance,DOM: High (BTC mom > p67 — BTC dominant),67,3.9988,42503.54,-31.68,1341.655,nan
Trend,Trend: Bull (21d BTC > +5%),92,3.7406,35411.03,-31.68,1117.775,nan
Trend,Trend: Sideways (-5% to +5%),185,3.2575,6436.83,-30.411,211.664,0.1655
Trend,Trend: Bear  (21d BTC < -5%),121,3.0812,8657.77,-41.243,209.92,nan
