shock_pct,n_shocks,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_maxdd_pct,survived
0,0,3.5342,16123.45,-49.125,0.0,0.0,True
-10.0,1,3.5179,15670.17,-50.673,-0.0163,-1.548,False
-10.0,3,3.4096,12898.98,-60.045,-0.1246,-10.92,False
-10.0,5,3.3022,10614.75,-67.637,-0.232,-18.512,False
-20.0,1,3.4549,14055.49,-56.154,-0.0793,-7.029,False
-20.0,3,3.2246,9301.03,-71.938,-0.3096,-22.813,False
-20.0,5,3.0004,6143.47,-82.041,-0.5338,-32.916,False
-30.0,1,3.384,12423.95,-61.635,-0.1502,-12.51,False
-30.0,3,3.0231,6410.66,-81.201,-0.5111,-32.076,False
-30.0,5,2.6812,3284.61,-90.788,-0.853,-41.663,False
-40.0,1,3.3062,10772.9,-67.115,-0.228,-17.99,False
-40.0,3,2.8111,4160.27,-88.162,-0.7231,-39.037,False
-40.0,5,2.3582,1569.28,-95.738,-1.1759,-46.613,False
