Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
CAGR%,level,1,0.0016,0.9757,0.0306,0.5528,378,
AvgDailyRet%,level,1,0.0615,0.2326,0.0246,0.6333,378,
Calmar,delta,1,0.0023,0.9651,0.0207,0.6937,366,
Sharpe,delta,1,-0.0187,0.7188,-0.0195,0.7077,372,
AvgDailyRet%,delta,1,0.012,0.8165,-0.0116,0.8219,377,
Sharpe,level,1,0.0254,0.6245,0.0093,0.8581,373,
Sortino,level,1,-0.0103,0.8414,0.0078,0.8805,378,
Sortino,delta,1,-0.0152,0.7683,-0.0027,0.9588,377,
Calmar,level,1,0.0015,0.9774,0.0026,0.9605,367,
CAGR%,delta,1,0.0027,0.959,0.001,0.9847,377,
Sortino,delta,3,-0.0043,0.9344,0.0893,0.0841,375,
Calmar,delta,3,0.0015,0.9777,0.0589,0.2625,364,
AvgDailyRet%,delta,3,0.0938,0.0696,0.0557,0.2822,375,
Sharpe,delta,3,0.0473,0.3641,0.0516,0.3225,370,
CAGR%,delta,3,0.0015,0.9767,0.0371,0.4734,375,
Calmar,level,3,-0.0019,0.9717,-0.0312,0.5526,365,
Sortino,level,3,-0.0143,0.7827,-0.0294,0.5704,376,
Sharpe,level,3,0.0226,0.6644,-0.0204,0.696,371,
AvgDailyRet%,level,3,0.0771,0.1358,0.0113,0.8265,376,
CAGR%,level,3,-0.0015,0.9762,0.0098,0.8505,376,
Sortino,delta,5,0.0244,0.6386,0.0985,0.0575,373,
Calmar,level,5,-0.0036,0.9461,-0.053,0.314,363,
AvgDailyRet%,delta,5,0.0882,0.0891,0.0528,0.3093,373,
Sortino,level,5,-0.0139,0.7887,-0.0494,0.3411,374,
Sharpe,delta,5,0.025,0.6329,0.0443,0.3969,368,
Sharpe,level,5,0.0115,0.8263,-0.0372,0.4762,369,
CAGR%,delta,5,0.0012,0.9815,0.0263,0.6129,373,
Calmar,delta,5,0.0012,0.9812,0.0259,0.6234,362,
CAGR%,level,5,-0.0031,0.9523,-0.0068,0.8951,374,
AvgDailyRet%,level,5,0.0721,0.1642,0.0015,0.9763,374,
