Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Calmar,level,1,-0.0064,0.9033,-0.0835,0.1097,368,
Sharpe,level,1,-0.0397,0.4478,-0.0481,0.3571,368,
Sortino,level,1,-0.0445,0.3947,-0.0475,0.3636,368,
AvgDailyRet%,delta,1,0.0236,0.6518,0.036,0.4915,367,
Sortino,delta,1,0.0763,0.1447,0.0357,0.4952,367,
CAGR%,level,1,-0.0052,0.9214,-0.0349,0.5049,368,
AvgDailyRet%,level,1,-0.0174,0.7393,-0.0328,0.5311,368,
CAGR%,delta,1,0.0011,0.9835,0.0324,0.5361,367,
Sharpe,delta,1,0.0142,0.7859,0.0293,0.5753,367,
Calmar,delta,1,0.0001,0.9986,0.0128,0.8071,367,
Calmar,level,3,-0.0105,0.8419,-0.1376,0.0084,366,yes
Sortino,level,3,-0.1126,0.0312,-0.1093,0.0366,366,yes
Sharpe,level,3,-0.0798,0.1276,-0.1018,0.0516,366,
CAGR%,level,3,-0.0094,0.8572,-0.0775,0.1388,366,
Calmar,delta,3,0.0006,0.9907,0.0751,0.1521,365,
AvgDailyRet%,level,3,-0.0402,0.4427,-0.0705,0.1787,366,
CAGR%,delta,3,0.0011,0.9834,0.0667,0.2039,365,
Sortino,delta,3,0.0681,0.1939,0.0477,0.364,365,
AvgDailyRet%,delta,3,0.045,0.3917,0.0393,0.454,365,
Sharpe,delta,3,0.0391,0.4564,0.0355,0.4992,365,
Calmar,level,5,-0.0147,0.7797,-0.2059,0.0001,364,yes
Sortino,level,5,-0.1519,0.0037,-0.1717,0.001,364,yes
Sharpe,level,5,-0.1084,0.0387,-0.1627,0.0018,364,yes
CAGR%,level,5,-0.0137,0.7941,-0.1308,0.0125,364,yes
AvgDailyRet%,level,5,-0.0585,0.2658,-0.1216,0.0203,364,yes
Calmar,delta,5,-0.0016,0.9761,0.078,0.1382,363,
CAGR%,delta,5,-0.001,0.9842,0.057,0.2785,363,
Sharpe,delta,5,0.0268,0.6106,0.0457,0.3856,363,
AvgDailyRet%,delta,5,0.0291,0.5802,0.0447,0.3954,363,
Sortino,delta,5,0.0467,0.3753,0.0377,0.4734,363,
