Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Calmar,delta,1,0.0231,0.6551,-0.0513,0.3205,377,
AvgDailyRet%,delta,1,0.0954,0.0643,0.0505,0.3285,377,
Sortino,level,1,0.0673,0.1917,0.0494,0.3378,378,
Sharpe,delta,1,0.0851,0.0988,0.049,0.3426,377,
Sortino,delta,1,0.0437,0.3973,0.0479,0.3534,377,
Sharpe,level,1,0.0845,0.101,0.046,0.3722,378,
CAGR%,level,1,-0.0348,0.4994,0.0442,0.3917,378,
AvgDailyRet%,level,1,0.0686,0.1835,0.042,0.4154,378,
CAGR%,delta,1,0.0294,0.5696,-0.0168,0.7455,377,
Calmar,level,1,-0.0444,0.3897,0.0141,0.7852,378,
Sharpe,level,3,0.1102,0.0327,0.0809,0.1172,376,
Sortino,level,3,0.0945,0.0673,0.0724,0.1615,376,
CAGR%,level,3,-0.0858,0.0966,0.0694,0.179,376,
AvgDailyRet%,level,3,0.0775,0.1338,0.0625,0.2268,376,
Calmar,delta,3,0.0167,0.7474,-0.0557,0.2823,375,
Sortino,delta,3,0.0233,0.6533,0.0553,0.2857,375,
Sharpe,delta,3,0.0531,0.3047,0.0535,0.3011,375,
CAGR%,delta,3,0.0255,0.6226,-0.0406,0.4329,375,
Calmar,level,3,-0.0946,0.0669,0.0378,0.4652,376,
AvgDailyRet%,delta,3,0.0783,0.1299,0.0377,0.4664,375,
Sharpe,level,5,0.1399,0.0067,0.1207,0.0196,374,yes
CAGR%,level,5,-0.1377,0.0077,0.1072,0.0382,374,yes
Sortino,level,5,0.122,0.0183,0.1045,0.0434,374,yes
AvgDailyRet%,level,5,0.0926,0.0736,0.0986,0.0568,374,
Calmar,level,5,-0.1411,0.0063,0.0748,0.1489,374,
Sortino,delta,5,0.057,0.2724,0.0631,0.2238,373,
Calmar,delta,5,0.0171,0.7414,-0.0568,0.2742,373,
Sharpe,delta,5,0.0586,0.2585,0.0506,0.3296,373,
CAGR%,delta,5,0.0234,0.6523,-0.039,0.4523,373,
AvgDailyRet%,delta,5,0.0605,0.2435,0.0287,0.5807,373,
