aum_usd,impact_one_way_pct,rt_cost_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
100000,0.61109,1.22218,2.8685,-0.6049,4582.65,-54.58,83.96,Excellent
143844,0.73291,1.46582,2.745,-0.7284,3556.99,-55.44,64.16,Excellent
206913,0.87902,1.75804,2.5955,-0.8779,2616.44,-56.46,46.34,Excellent
297635,1.05426,2.10852,2.4146,-1.0588,1799.45,-57.65,31.21,Institutional
428133,1.26443,2.52886,2.1954,-1.278,1134.68,-59.04,19.22,Institutional
615848,1.5165,3.033,1.9295,-1.5439,634.72,-60.66,10.46,Survival
885866,1.81882,3.63764,1.6067,-1.8667,292.83,-62.53,4.68,Survival
1274274,2.18141,4.36281,1.2148,-2.2586,84.43,-64.67,1.31,Marginal
1832980,2.61628,5.23256,0.7398,-2.7336,-26.09,-80.63,-0.32,Unusable
2636650,3.13784,6.27569,0.1656,-3.3078,-75.59,-93.02,-0.81,Unusable
3792690,3.76339,7.52677,-0.5242,-3.9976,-93.64,-97.98,-0.96,Unusable
5455594,4.51363,9.02726,-1.3441,-4.8175,-98.76,-99.58,-0.99,Unusable
7847599,5.41344,10.82689,-2.3021,-5.7755,-99.83,-99.94,-1.0,Unusable
11288378,6.49263,12.98527,-3.3925,-6.8659,-99.99,-99.99,-1.0,Unusable
16237767,7.78697,15.57393,-4.5885,-8.0619,-100.0,-100.0,-1.0,Unusable
23357214,9.33933,18.67866,-5.8369,-9.3103,-100.0,-100.0,-1.0,Unusable
33598182,11.20116,22.40232,-7.0638,-10.5372,-100.0,-100.0,-1.0,Unusable
48329302,13.43416,26.86831,-8.1912,-11.6646,-100.0,-100.0,-1.0,Unusable
69519279,16.11231,32.22462,-9.1591,-12.6325,-100.0,-100.0,-1.0,Unusable
100000000,19.32436,38.64872,-9.9403,-13.4137,-100.0,-100.0,-1.0,Unusable
