Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Calmar,delta,1,0.0121,0.814,0.1211,0.018,381,yes
CAGR%,delta,1,0.0134,0.7934,0.1085,0.0329,387,yes
CAGR%,level,1,-0.0456,0.37,0.0986,0.0522,388,
Sortino,level,1,-0.0078,0.8783,0.095,0.0614,388,
AvgDailyRet%,level,1,0.0835,0.1005,0.093,0.0674,388,
Sharpe,level,1,0.0912,0.0743,0.0907,0.076,384,
AvgDailyRet%,delta,1,0.1106,0.0295,0.0881,0.0836,387,
Sortino,delta,1,0.0239,0.6398,0.0856,0.0927,387,
Sharpe,delta,1,0.0811,0.1132,0.0775,0.1298,383,
Calmar,level,1,-0.0451,0.379,0.0666,0.1941,382,
CAGR%,delta,3,-0.0363,0.478,0.1049,0.0396,385,yes
Calmar,delta,3,-0.0367,0.4768,0.1032,0.0448,379,yes
Sortino,delta,3,0.0092,0.8571,0.0717,0.1601,385,
Sortino,level,3,-0.0206,0.6872,0.0624,0.2212,386,
CAGR%,level,3,-0.0681,0.1821,0.0615,0.2281,386,
AvgDailyRet%,level,3,0.0863,0.0903,0.0599,0.2405,386,
AvgDailyRet%,delta,3,0.0367,0.473,0.0537,0.2936,385,
Sharpe,level,3,0.1118,0.0289,0.0509,0.3208,382,
Sharpe,delta,3,-0.003,0.9529,0.0505,0.3255,381,
Calmar,level,3,-0.0672,0.191,-0.0024,0.9624,380,
Sortino,level,5,-0.0606,0.2359,0.093,0.0686,384,
AvgDailyRet%,level,5,0.1249,0.0143,0.0823,0.1074,384,
CAGR%,level,5,-0.0264,0.6056,0.0815,0.1106,384,
Sharpe,level,5,0.164,0.0013,0.0689,0.1801,380,
Sortino,delta,5,-0.0152,0.7675,0.0588,0.2508,383,
CAGR%,delta,5,-0.0193,0.7061,0.0565,0.2701,383,
Calmar,delta,5,-0.0182,0.725,0.0502,0.3313,377,
Sharpe,delta,5,-0.0131,0.799,0.0344,0.5048,379,
AvgDailyRet%,delta,5,0.0048,0.9248,0.0314,0.5403,383,
Calmar,level,5,-0.0274,0.596,-0.0109,0.8328,378,
