shock_pct,n_shocks,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_maxdd_pct,survived
0,0,3.4734,15937.62,-50.034,0.0,0.0,True
-10.0,1,3.4211,14460.5,-55.031,-0.0523,-4.997,False
-10.0,3,3.3722,13200.33,-59.258,-0.1012,-9.223,False
-10.0,5,3.2685,10863.15,-66.999,-0.2049,-16.964,False
-20.0,1,3.361,12969.68,-60.027,-0.1124,-9.993,False
-20.0,3,3.1945,9518.97,-71.385,-0.2789,-21.351,False
-20.0,5,2.9781,6288.21,-81.687,-0.4953,-31.652,False
-30.0,1,3.2937,11463.29,-65.024,-0.1797,-14.99,False
-30.0,3,3.0011,6561.59,-80.83,-0.4723,-30.796,False
-30.0,5,2.671,3363.07,-90.607,-0.8024,-40.573,False
-40.0,1,3.22,9938.89,-70.021,-0.2534,-19.986,False
-40.0,3,2.7975,4259.03,-87.928,-0.6759,-37.894,False
-40.0,5,2.3595,1607.98,-95.654,-1.1139,-45.62,False
