EARLY_KILL_Y,EARLY_INSTILL_Y,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.001,0.001,3.8695,32305.23,-44.344,-22.391,728.512,0.4856,False
0.001,0.0015,3.7787,21836.74,-44.326,-22.391,492.639,0.4292,False
0.001,0.002,3.715,19252.73,-45.128,-22.391,426.626,0.4329,False
0.001,0.0025,3.6895,16704.51,-40.775,-22.417,409.674,0.4895,False
0.001,0.003,3.7671,18668.05,-40.775,-22.417,457.83,0.4489,False
0.0015,0.001,3.7787,21836.74,-44.326,-22.391,492.639,0.4292,False
0.0015,0.0015,3.7787,21836.74,-44.326,-22.391,492.639,0.4292,False
0.0015,0.002,3.715,19252.73,-45.128,-22.391,426.626,0.4329,False
0.0015,0.0025,3.6895,16704.51,-40.775,-22.417,409.674,0.4895,False
0.0015,0.003,3.7671,18668.05,-40.775,-22.417,457.83,0.4489,False
0.002,0.001,3.715,19252.73,-45.128,-22.391,426.626,0.4329,False
0.002,0.0015,3.715,19252.73,-45.128,-22.391,426.626,0.4329,False
0.002,0.002,3.715,19252.73,-45.128,-22.391,426.626,0.4329,False
0.002,0.0025,3.6895,16704.51,-40.775,-22.417,409.674,0.4895,False
0.002,0.003,3.7671,18668.05,-40.775,-22.417,457.83,0.4489,False
0.0025,0.001,3.6895,16704.51,-40.775,-22.417,409.674,0.4895,False
0.0025,0.0015,3.6895,16704.51,-40.775,-22.417,409.674,0.4895,False
0.0025,0.002,3.6895,16704.51,-40.775,-22.417,409.674,0.4895,False
0.0025,0.0025,3.6895,16704.51,-40.775,-22.417,409.674,0.4895,False
0.0025,0.003,3.7671,18668.05,-40.775,-22.417,457.83,0.4489,False
0.003,0.001,3.7671,18668.05,-40.775,-22.417,457.83,0.4489,False
0.003,0.0015,3.7671,18668.05,-40.775,-22.417,457.83,0.4489,False
0.003,0.002,3.7671,18668.05,-40.775,-22.417,457.83,0.4489,False
0.003,0.0025,3.7671,18668.05,-40.775,-22.417,457.83,0.4489,False
0.003,0.003,3.7671,18668.05,-40.775,-22.417,457.83,0.4489,True
