mode,level,mean_sharpe,std_sharpe,min_sharpe,mean_cagr,mean_maxdd,score,worst_score,n_trials
return_noise,0.001,5.6897,0.0,5.6896,117356.55,-14.75,1.5122,1.5122,100
return_noise,0.003,5.6897,0.0001,5.6894,117358.04,-14.75,1.5122,1.5122,100
return_noise,0.005,5.6897,0.0002,5.6891,117359.67,-14.75,1.5123,1.5121,100
return_noise,0.01,5.6896,0.0004,5.6886,117221.89,-14.75,1.5122,1.512,100
signal_shuffle,0.02,3.7372,0.0692,3.4823,17827.81,-41.04,0.9933,0.9256,100
signal_shuffle,0.05,3.6905,0.1245,3.2408,16852.75,-41.74,0.9809,0.8614,100
signal_shuffle,0.1,3.6178,0.1745,3.1473,15763.07,-42.4,0.9616,0.8365,100
signal_shuffle,0.2,3.5215,0.2722,2.6253,14790.24,-47.21,0.936,0.6978,100
ranking_noise,0.02,3.7028,0.118,3.3146,17753.72,-43.66,0.9842,0.881,100
ranking_noise,0.05,3.5968,0.2201,2.8428,16552.98,-47.77,0.956,0.7556,100
ranking_noise,0.1,3.3599,0.2897,2.7065,12423.66,-53.73,0.893,0.7194,100
