Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sharpe,level,1,-0.1159,0.0261,-0.0869,0.0959,368,
CAGR%,level,1,0.0077,0.8828,-0.0828,0.1129,368,
Calmar,level,1,0.0019,0.971,-0.0824,0.1145,368,
AvgDailyRet%,level,1,-0.0954,0.0674,-0.0764,0.1434,368,
Calmar,delta,1,-0.0,0.9993,-0.0432,0.4094,367,
CAGR%,delta,1,0.0036,0.9459,-0.0373,0.4762,367,
Sortino,level,1,-0.0418,0.4243,-0.0243,0.6418,368,
AvgDailyRet%,delta,1,0.0182,0.7285,-0.0123,0.8137,367,
Sortino,delta,1,0.0058,0.912,0.0006,0.991,367,
Sharpe,delta,1,0.0449,0.3908,-0.0005,0.9927,367,
Calmar,level,3,-0.0221,0.6736,-0.1369,0.0087,366,yes
CAGR%,level,3,-0.0162,0.7568,-0.1355,0.0094,366,yes
Sharpe,level,3,-0.2245,0.0,-0.1318,0.0116,366,yes
AvgDailyRet%,level,3,-0.1803,0.0005,-0.1285,0.0139,366,yes
Sortino,level,3,-0.081,0.1217,-0.051,0.3301,366,
CAGR%,delta,3,0.0481,0.3592,-0.0289,0.5817,365,
Calmar,delta,3,0.0456,0.3847,-0.0255,0.627,365,
Sortino,delta,3,0.0019,0.9709,-0.0049,0.926,365,
Sharpe,delta,3,0.0239,0.6487,-0.002,0.9693,365,
AvgDailyRet%,delta,3,0.0183,0.7271,-0.0005,0.9923,365,
CAGR%,level,5,-0.0429,0.4143,-0.209,0.0001,364,yes
Calmar,level,5,-0.05,0.3419,-0.2087,0.0001,364,yes
AvgDailyRet%,level,5,-0.2363,0.0,-0.2051,0.0001,364,yes
Sharpe,level,5,-0.2918,0.0,-0.1983,0.0001,364,yes
Sortino,level,5,-0.1078,0.0399,-0.1131,0.031,364,yes
CAGR%,delta,5,0.0261,0.6197,-0.0268,0.6114,363,
Calmar,delta,5,0.0238,0.6508,-0.0256,0.6267,363,
Sortino,delta,5,0.0143,0.7865,-0.0112,0.8319,363,
AvgDailyRet%,delta,5,0.0204,0.6978,0.0045,0.9318,363,
Sharpe,delta,5,-0.0029,0.9553,0.0006,0.9904,363,
