Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
CAGR%,delta,1,-0.0369,0.4752,0.0544,0.2924,377,
AvgDailyRet%,delta,1,0.0542,0.2943,0.0463,0.3701,377,
Sharpe,delta,1,0.1029,0.0458,0.0428,0.4074,377,
Calmar,delta,1,-0.0803,0.1301,0.0327,0.5374,357,
Sortino,delta,1,0.0557,0.2811,0.0196,0.7037,377,
CAGR%,level,1,-0.0671,0.1928,-0.0177,0.7314,378,
AvgDailyRet%,level,1,-0.0238,0.644,-0.0143,0.782,378,
Sortino,level,1,0.0027,0.9581,0.011,0.831,378,
Sharpe,level,1,-0.0164,0.7506,-0.0082,0.8732,378,
Calmar,level,1,-0.0473,0.3725,-0.001,0.9856,358,
Sortino,delta,3,0.0203,0.6952,0.0584,0.2589,375,
Calmar,delta,3,-0.0455,0.3924,0.0552,0.2997,355,
CAGR%,delta,3,-0.039,0.451,0.0479,0.3554,375,
AvgDailyRet%,delta,3,0.0396,0.445,0.0413,0.4257,375,
Sharpe,delta,3,0.0902,0.0813,0.0407,0.4323,375,
Sortino,level,3,-0.0167,0.7468,0.0273,0.5981,376,
CAGR%,level,3,-0.0831,0.1075,-0.0133,0.7977,376,
Sharpe,level,3,-0.0779,0.1316,-0.008,0.8776,376,
AvgDailyRet%,level,3,-0.0681,0.1873,-0.0052,0.9194,376,
Calmar,level,3,-0.0549,0.3018,0.0033,0.95,356,
Calmar,delta,5,0.0086,0.8715,0.0638,0.2315,353,
Sharpe,delta,5,0.0987,0.0568,0.0506,0.33,373,
CAGR%,delta,5,-0.0104,0.842,0.0499,0.3366,373,
AvgDailyRet%,delta,5,0.0693,0.1815,0.0496,0.3395,373,
Sortino,delta,5,0.0511,0.3247,0.0492,0.3429,373,
Sharpe,level,5,-0.1263,0.0145,-0.049,0.3447,374,
CAGR%,level,5,-0.0739,0.1535,-0.045,0.3859,374,
AvgDailyRet%,level,5,-0.0951,0.0661,-0.0371,0.4741,374,
Calmar,level,5,-0.079,0.1379,-0.0336,0.5288,354,
Sortino,level,5,-0.0327,0.5285,-0.024,0.6439,374,
