window_days,min_cum_ret,start_idx,end_idx
1,-0.164394,283,283
3,-0.254375,72,74
7,-0.284075,228,234
14,-0.228910,286,299
21,-0.211414,90,110
30,-0.149325,173,202
40,-0.172793,89,128
50,0.027225,158,207
60,0.300245,145,204
70,0.289965,264,333
80,0.527591,260,339
90,0.702594,249,338
100,0.777074,89,188
