EARLY_KILL_Y,EARLY_INSTILL_Y,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.001,0.001,3.8766,9424.27,-34.371,-16.42,274.189,0.4863,False
0.001,0.0015,3.7825,6794.64,-34.356,-16.42,197.77,0.4306,False
0.001,0.002,3.7211,6198.78,-35.031,-16.42,176.952,0.4351,False
0.001,0.0025,3.6956,5503.54,-31.341,-16.439,175.604,0.4915,False
0.001,0.003,3.7785,6015.66,-31.341,-16.439,191.944,0.4518,False
0.0015,0.001,3.7825,6794.64,-34.356,-16.42,197.77,0.4306,False
0.0015,0.0015,3.7825,6794.64,-34.356,-16.42,197.77,0.4306,False
0.0015,0.002,3.7211,6198.78,-35.031,-16.42,176.952,0.4351,False
0.0015,0.0025,3.6956,5503.54,-31.341,-16.439,175.604,0.4915,False
0.0015,0.003,3.7785,6015.66,-31.341,-16.439,191.944,0.4518,False
0.002,0.001,3.7211,6198.78,-35.031,-16.42,176.952,0.4351,False
0.002,0.0015,3.7211,6198.78,-35.031,-16.42,176.952,0.4351,False
0.002,0.002,3.7211,6198.78,-35.031,-16.42,176.952,0.4351,False
0.002,0.0025,3.6956,5503.54,-31.341,-16.439,175.604,0.4915,False
0.002,0.003,3.7785,6015.66,-31.341,-16.439,191.944,0.4518,False
0.0025,0.001,3.6956,5503.54,-31.341,-16.439,175.604,0.4915,False
0.0025,0.0015,3.6956,5503.54,-31.341,-16.439,175.604,0.4915,False
0.0025,0.002,3.6956,5503.54,-31.341,-16.439,175.604,0.4915,False
0.0025,0.0025,3.6956,5503.54,-31.341,-16.439,175.604,0.4915,False
0.0025,0.003,3.7785,6015.66,-31.341,-16.439,191.944,0.4518,False
0.003,0.001,3.7785,6015.66,-31.341,-16.439,191.944,0.4518,False
0.003,0.0015,3.7785,6015.66,-31.341,-16.439,191.944,0.4518,False
0.003,0.002,3.7785,6015.66,-31.341,-16.439,191.944,0.4518,False
0.003,0.0025,3.7785,6015.66,-31.341,-16.439,191.944,0.4518,False
0.003,0.003,3.7785,6015.66,-31.341,-16.439,191.944,0.4518,True
