shock_pct,n_shocks,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_maxdd_pct,survived
0,0,3.7738,6015.66,-31.341,0.0,0.0,True
-10.0,1,3.8104,6257.59,-28.374,0.0366,2.967,True
-10.0,3,3.6924,5455.94,-38.163,-0.0814,-6.823,True
-10.0,5,3.5276,4479.63,-49.912,-0.2462,-18.572,True
-20.0,1,3.7065,5606.65,-36.332,-0.0673,-4.992,True
-20.0,3,3.3925,3918.13,-56.57,-0.3813,-25.23,False
-20.0,5,3.0485,2568.55,-72.205,-0.7253,-40.864,False
-30.0,1,3.5859,4948.91,-44.291,-0.1879,-12.95,True
-30.0,3,3.0649,2682.75,-70.905,-0.7089,-39.565,False
-30.0,5,2.554,1346.63,-85.744,-1.2198,-54.403,False
-40.0,1,3.4517,4283.3,-52.249,-0.3221,-20.908,False
-40.0,3,2.7294,1720.9,-81.678,-1.0443,-50.337,False
-40.0,5,2.0809,613.47,-93.404,-1.6929,-62.063,False
