aum_usd,impact_one_way_pct,rt_cost_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
100000,0.49962,0.99924,3.0783,-0.6955,2262.22,-34.96,64.7,Excellent
143844,0.59922,1.19843,2.9349,-0.8389,1851.99,-35.67,51.92,Excellent
206913,0.71867,1.43735,2.7611,-1.0127,1452.03,-36.5,39.78,Excellent
297635,0.86195,1.72389,2.5499,-1.2239,1078.04,-37.5,28.75,Excellent
428133,1.03378,2.06756,2.2931,-1.4807,745.47,-38.67,19.28,Institutional
615848,1.23987,2.47974,1.9804,-1.7934,467.11,-40.05,11.66,Survival
885866,1.48704,2.97408,1.5994,-2.1744,250.52,-43.9,5.71,Survival
1274274,1.78349,3.56697,1.1355,-2.6383,96.21,-54.95,1.75,Marginal
1832980,2.13903,4.27807,0.5719,-3.2019,-2.62,-66.68,-0.04,Unusable
2636650,2.56546,5.13091,-0.1091,-3.8829,-58.25,-84.21,-0.69,Unusable
3792690,3.07689,6.15378,-0.9237,-4.6975,-85.03,-93.89,-0.91,Unusable
5455594,3.69028,7.38056,-1.8819,-5.6557,-95.69,-98.14,-0.97,Unusable
7847599,4.42595,8.85191,-2.9794,-6.7532,-99.05,-99.57,-0.99,Unusable
11288378,5.30829,10.61657,-4.189,-7.9628,-99.85,-99.93,-1.0,Unusable
16237767,6.36651,12.73303,-5.455,-9.2288,-99.98,-99.99,-1.0,Unusable
23357214,7.6357,15.27141,-6.6981,-10.4719,-100.0,-100.0,-1.0,Unusable
33598182,9.15791,18.31582,-7.8351,-11.6089,-100.0,-100.0,-1.0,Unusable
48329302,10.98358,21.96715,-8.8035,-12.5773,-100.0,-100.0,-1.0,Unusable
69519279,13.1732,26.34639,-9.577,-13.3508,-100.0,-100.0,-1.0,Unusable
100000000,15.79933,31.59865,-10.1633,-13.9371,-100.0,-100.0,-1.0,Unusable
