period,n,win_rate,avg,avg_win,avg_loss,best,worst,n_wins,n_losses
daily,398,0.153266,0.013427,0.135955,-0.064114,0.39248,-0.164394,61,46
weekly,56,0.571429,0.093243,0.190121,-0.071852,0.778561,-0.122233,32,12
monthly,13,0.846154,0.461023,0.558372,-0.074394,1.561075,-0.107462,11,2
