mode,level,mean_sharpe,std_sharpe,min_sharpe,mean_cagr,mean_maxdd,score,worst_score,n_trials
return_noise,0.001,5.7037,0.0,5.7036,20661.93,-10.93,1.5114,1.5114,100
return_noise,0.003,5.7037,0.0001,5.7034,20661.93,-10.93,1.5114,1.5113,100
return_noise,0.005,5.7037,0.0002,5.7033,20662.36,-10.93,1.5114,1.5113,100
return_noise,0.01,5.7037,0.0004,5.7028,20643.5,-10.93,1.5114,1.5112,100
signal_shuffle,0.02,3.7476,0.0695,3.4942,5790.22,-31.55,0.9931,0.9259,100
signal_shuffle,0.05,3.6995,0.1255,3.2493,5538.25,-32.03,0.9803,0.861,100
signal_shuffle,0.1,3.6256,0.1753,3.1555,5267.4,-32.47,0.9607,0.8362,100
signal_shuffle,0.2,3.5289,0.2729,2.6243,5043.59,-36.48,0.9351,0.6954,100
ranking_noise,0.02,3.7126,0.1181,3.3266,5784.06,-33.55,0.9838,0.8815,100
ranking_noise,0.05,3.604,0.2197,2.858,5484.28,-36.93,0.955,0.7573,100
ranking_noise,0.1,3.3661,0.2904,2.7082,4454.03,-41.85,0.892,0.7176,100
