Top N%,N days,Return sum,% of gross +,Threshold,Flag
1,1,0.3925,4.7,20.0,✓
5,5,1.5674,18.9,45.0,✓
10,10,2.7198,32.8,65.0,✓
20,21,4.8582,58.6,,
25,26,5.735,69.2,,
