EARLY_FILL_Y,EARLY_KILL_Y,VOL_LEV_MAX_BOOST,Sharpe,CAGR_pct,MaxDD_pct,Calmar,WF_CV,baseline
0.07,0.001,1.2,2.36,671.09,-38.047,17.638,1.2029,False
0.07,0.001,1.3,2.4444,808.5,-40.16,20.132,1.1304,False
0.07,0.001,1.4,2.5344,966.65,-42.143,22.938,1.0567,False
0.07,0.001,1.5,2.5673,1068.19,-44.087,24.229,1.0188,False
0.07,0.001,1.6,2.5886,1165.39,-45.992,25.339,0.9975,False
0.07,0.001,1.7,2.5955,1236.61,-47.859,25.839,0.9841,False
0.07,0.001,1.8,2.5991,1301.55,-49.184,26.463,0.9781,False
0.07,0.001,1.9,2.617,1392.78,-48.308,28.831,0.9697,False
0.07,0.001,2.0,2.6675,1564.26,-46.089,33.94,0.9675,False
0.07,0.001,2.5,2.6675,1564.26,-46.089,33.94,0.9675,False
0.07,0.001,3.0,2.6675,1564.26,-46.089,33.94,0.9675,False
0.07,0.0015,1.2,2.36,671.09,-38.047,17.638,1.2029,False
0.07,0.0015,1.3,2.4444,808.5,-40.16,20.132,1.1304,False
0.07,0.0015,1.4,2.5344,966.65,-42.143,22.938,1.0567,False
0.07,0.0015,1.5,2.5673,1068.19,-44.087,24.229,1.0188,False
0.07,0.0015,1.6,2.5886,1165.39,-45.992,25.339,0.9975,False
0.07,0.0015,1.7,2.5955,1236.61,-47.859,25.839,0.9841,False
0.07,0.0015,1.8,2.5991,1301.55,-49.184,26.463,0.9781,False
0.07,0.0015,1.9,2.617,1392.78,-48.308,28.831,0.9697,False
0.07,0.0015,2.0,2.6675,1564.26,-46.089,33.94,0.9675,False
0.07,0.0015,2.5,2.6675,1564.26,-46.089,33.94,0.9675,False
0.07,0.0015,3.0,2.6675,1564.26,-46.089,33.94,0.9675,False
0.07,0.003,1.2,2.36,671.09,-38.047,17.638,1.2029,False
0.07,0.003,1.3,2.4444,808.5,-40.16,20.132,1.1304,False
0.07,0.003,1.4,2.5344,966.65,-42.143,22.938,1.0567,False
0.07,0.003,1.5,2.5673,1068.19,-44.087,24.229,1.0188,False
0.07,0.003,1.6,2.5886,1165.39,-45.992,25.339,0.9975,False
0.07,0.003,1.7,2.5955,1236.61,-47.859,25.839,0.9841,False
0.07,0.003,1.8,2.5991,1301.55,-49.184,26.463,0.9781,False
0.07,0.003,1.9,2.617,1392.78,-48.308,28.831,0.9697,False
0.07,0.003,2.0,2.6675,1564.26,-46.089,33.94,0.9675,False
0.07,0.003,2.5,2.6675,1564.26,-46.089,33.94,0.9675,False
0.07,0.003,3.0,2.6675,1564.26,-46.089,33.94,0.9675,False
0.08,0.001,1.2,2.8035,1326.5,-36.826,36.021,0.8673,False
0.08,0.001,1.3,2.8671,1545.49,-37.771,40.918,0.8218,False
0.08,0.001,1.4,2.9629,1890.55,-36.291,52.094,0.7779,False
0.08,0.001,1.5,3.0258,2180.39,-35.803,60.899,0.7463,False
0.08,0.001,1.6,3.0568,2387.42,-37.107,64.338,0.7422,False
0.08,0.001,1.7,3.0835,2606.97,-38.401,67.888,0.74,False
0.08,0.001,1.8,3.1061,2849.96,-39.684,71.816,0.7372,False
0.08,0.001,1.9,3.1267,3080.49,-40.957,75.212,0.7347,False
0.08,0.001,2.0,3.1398,3298.4,-42.22,78.124,0.7299,False
0.08,0.001,2.5,3.1398,3298.4,-42.22,78.124,0.7299,False
0.08,0.001,3.0,3.1398,3298.4,-42.22,78.124,0.7299,False
0.08,0.0015,1.2,2.8035,1326.5,-36.826,36.021,0.8673,False
0.08,0.0015,1.3,2.8671,1545.49,-37.771,40.918,0.8218,False
0.08,0.0015,1.4,2.9629,1890.55,-36.291,52.094,0.7779,False
