Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sharpe,level,1,-0.1158,0.0263,-0.092,0.0781,368,
CAGR%,level,1,0.0174,0.739,-0.0914,0.08,368,
Calmar,level,1,0.0146,0.7796,-0.0896,0.086,368,
AvgDailyRet%,level,1,-0.0976,0.0614,-0.0828,0.1127,368,
Calmar,delta,1,-0.0017,0.974,-0.0333,0.5244,367,
Sortino,level,1,-0.042,0.4216,-0.0309,0.5544,368,
CAGR%,delta,1,-0.0005,0.992,-0.0265,0.6125,367,
AvgDailyRet%,delta,1,0.0183,0.7266,-0.0092,0.86,367,
Sharpe,delta,1,0.0383,0.4639,-0.009,0.8641,367,
Sortino,delta,1,0.0033,0.9504,0.0037,0.9433,367,
CAGR%,level,3,-0.0052,0.9215,-0.1505,0.0039,366,yes
Calmar,level,3,-0.0083,0.8737,-0.1466,0.005,366,yes
AvgDailyRet%,level,3,-0.1858,0.0004,-0.1413,0.0068,366,yes
Sharpe,level,3,-0.2247,0.0,-0.1411,0.0068,366,yes
Sortino,level,3,-0.0811,0.1212,-0.0649,0.2157,366,
CAGR%,delta,3,0.0555,0.2903,-0.0199,0.7045,365,
Calmar,delta,3,0.0542,0.3018,-0.0175,0.7387,365,
Sortino,delta,3,-0.001,0.9851,-0.0067,0.8986,365,
AvgDailyRet%,delta,3,0.0177,0.7361,-0.0039,0.9407,365,
Sharpe,delta,3,0.0213,0.6849,-0.0005,0.9922,365,
CAGR%,level,5,-0.0376,0.474,-0.2223,0.0,364,yes
Calmar,level,5,-0.041,0.4353,-0.219,0.0,364,yes
AvgDailyRet%,level,5,-0.2439,0.0,-0.2153,0.0,364,yes
Sharpe,level,5,-0.2933,0.0,-0.2071,0.0001,364,yes
Sortino,level,5,-0.1072,0.041,-0.1308,0.0125,364,yes
CAGR%,delta,5,0.0314,0.5504,-0.0189,0.7193,363,
Sharpe,delta,5,-0.0024,0.9643,0.0154,0.7699,363,
AvgDailyRet%,delta,5,0.0203,0.6996,0.0149,0.7776,363,
Calmar,delta,5,0.0303,0.5651,-0.0145,0.7832,363,
Sortino,delta,5,0.0135,0.7978,0.0001,0.9978,363,
