Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
CAGR%,level,1,-0.0412,0.4187,-0.0665,0.1911,388,
Sharpe,level,1,-0.0509,0.3201,-0.0664,0.1946,383,
Sortino,delta,1,0.0319,0.5316,0.0603,0.2366,387,
AvgDailyRet%,level,1,-0.0399,0.4327,-0.0599,0.239,388,
Calmar,level,1,-0.0178,0.7453,-0.0582,0.2884,335,
Sharpe,delta,1,0.1014,0.0477,0.0354,0.4901,382,
Calmar,delta,1,0.0584,0.2873,0.032,0.5597,334,
Sortino,level,1,-0.0716,0.1593,-0.0255,0.6169,388,
AvgDailyRet%,delta,1,0.0505,0.3219,0.0235,0.6446,387,
CAGR%,delta,1,0.0391,0.4429,0.0224,0.66,387,
Sharpe,level,3,-0.1398,0.0063,-0.1433,0.0051,381,yes
CAGR%,level,3,-0.093,0.0678,-0.1232,0.0155,386,yes
AvgDailyRet%,level,3,-0.0938,0.0657,-0.1159,0.0227,386,yes
Calmar,level,3,0.0165,0.7638,-0.11,0.0442,335,yes
Sortino,level,3,-0.1137,0.0255,-0.1032,0.0426,386,yes
Sortino,delta,3,-0.0463,0.3652,0.0384,0.4526,385,
Sharpe,delta,3,0.0396,0.4411,0.0232,0.6517,380,
AvgDailyRet%,delta,3,0.0092,0.8571,0.0222,0.6644,385,
CAGR%,delta,3,-0.0255,0.6175,0.0193,0.7061,385,
Calmar,delta,3,0.0065,0.9051,0.0049,0.9283,334,
Sharpe,level,5,-0.1791,0.0005,-0.2051,0.0001,379,yes
CAGR%,level,5,-0.0593,0.2465,-0.1449,0.0044,384,yes
AvgDailyRet%,level,5,-0.112,0.0282,-0.1401,0.0059,384,yes
Sortino,level,5,-0.1213,0.0174,-0.13,0.0108,384,yes
Calmar,level,5,0.0288,0.5993,-0.1034,0.0588,335,
Calmar,delta,5,0.0293,0.5933,0.0229,0.6767,334,
AvgDailyRet%,delta,5,0.0267,0.6019,0.0101,0.8441,383,
Sortino,delta,5,-0.0099,0.8468,0.0099,0.847,383,
CAGR%,delta,5,-0.0141,0.784,-0.005,0.922,383,
Sharpe,delta,5,0.0121,0.8147,-0.0015,0.977,378,
