slippage_one_way_pct,round_trip_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
0.05,0.1,3.7061,-0.0677,5462.65,-31.71,172.27,Excellent
0.1,0.2,3.6379,-0.1359,4959.17,-32.08,154.59,Excellent
0.25,0.5,3.4309,-0.3429,3703.92,-33.17,111.65,Excellent
0.5,1.0,3.0778,-0.696,2260.5,-34.97,64.65,Excellent
1.0,2.0,2.3438,-1.4299,802.52,-38.44,20.88,Strong
