drop_pct,vol_mult,Sharpe,CAGR%,MaxDD%,Active,Flat,WF_CV,WF_MeanOOS,WF_PctPos%,WF_Unstable
0.02,1.4,2.846,1163.6,-31.34,101,297,0.743,2.928,88.9,1
0.023,1.4,2.885,1271.2,-31.34,104,294,0.806,2.985,77.8,2
0.024,1.4,2.885,1271.2,-31.34,104,294,0.806,2.985,77.8,2
0.025,1.4,2.854,1227.0,-31.34,105,293,0.819,2.94,77.8,2
0.026,1.4,2.854,1227.0,-31.34,105,293,0.819,2.94,77.8,2
0.027,1.4,2.85,1231.3,-31.34,109,289,0.821,2.92,77.8,2
0.028,1.4,2.85,1231.3,-31.34,109,289,0.821,2.92,77.8,2
0.029,1.4,2.942,1391.2,-31.34,110,288,0.825,3.054,77.8,2
0.03,1.4,3.062,1652.3,-31.34,111,287,0.825,3.054,77.8,2
0.031,1.4,2.995,1532.2,-31.34,112,286,0.825,3.054,77.8,2
0.032,1.4,2.995,1532.2,-31.34,112,286,0.825,3.054,77.8,2
0.033,1.4,2.99,1530.7,-33.51,114,284,0.825,3.054,77.8,2
0.034,1.4,2.99,1530.7,-33.51,114,284,0.825,3.054,77.8,2
0.035,1.4,2.99,1530.7,-33.51,114,284,0.825,3.054,77.8,2
0.04,1.4,2.964,1536.3,-33.51,116,282,0.777,3.033,77.8,2
