blocks_removed,removed_returns,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,3.7738,6015.66,-31.341,0.0,0.0
1,+156.1%,3.2491,2481.58,-31.341,-0.5247,-3534.08
2,"+156.1%, +100.8%",2.8273,1261.87,-31.341,-0.9464,-4753.79
3,"+156.1%, +100.8%, +63.6%",2.466,766.88,-31.341,-1.3078,-5248.77
