TRAIL_DD,EARLY_X,Sharpe,MaxDD%,WF_CV,Fold5_Sharpe,Fold8_Sharpe,Flat_days
0.04,30,0.975,-51.69,5.524,1.422,-1.785,291
0.04,31,0.975,-51.69,5.524,1.422,-1.785,291
0.04,32,0.975,-51.69,5.524,1.422,-1.785,291
0.04,33,0.975,-51.69,5.524,1.422,-1.785,291
0.04,34,0.975,-51.69,5.524,1.422,-1.785,291
0.04,35,1.986,-41.67,2.795,2.556,-0.262,291
0.04,36,1.986,-41.67,2.795,2.556,-0.262,291
0.04,37,1.986,-41.67,2.795,2.556,-0.262,291
0.04,38,1.986,-41.67,2.795,2.556,-0.262,291
0.04,39,1.986,-41.67,2.795,2.556,-0.262,291
0.04,40,0.917,-56.63,9.093,2.281,-1.566,289
0.04,41,0.917,-56.63,9.093,2.281,-1.566,289
0.04,42,0.917,-56.63,9.093,2.281,-1.566,289
0.04,43,0.917,-56.63,9.093,2.281,-1.566,289
0.04,44,0.917,-56.63,9.093,2.281,-1.566,289
0.05,30,1.961,-52.39,1.594,1.186,1.54,291
0.05,31,1.961,-52.39,1.594,1.186,1.54,291
0.05,32,1.961,-52.39,1.594,1.186,1.54,291
0.05,33,1.961,-52.39,1.594,1.186,1.54,291
0.05,34,1.961,-52.39,1.594,1.186,1.54,291
0.05,35,3.056,-43.54,1.3,4.338,2.259,291
0.05,36,3.056,-43.54,1.3,4.338,2.259,291
0.05,37,3.056,-43.54,1.3,4.338,2.259,291
0.05,38,3.056,-43.54,1.3,4.338,2.259,291
0.05,39,3.056,-43.54,1.3,4.338,2.259,291
0.05,40,2.188,-56.4,1.845,4.17,0.972,289
0.05,41,2.188,-56.4,1.845,4.17,0.972,289
0.05,42,2.188,-56.4,1.845,4.17,0.972,289
0.05,43,2.188,-56.4,1.845,4.17,0.972,289
0.05,44,2.188,-56.4,1.845,4.17,0.972,289
0.06,30,2.199,-37.37,0.759,0.742,2.426,291
0.06,31,2.199,-37.37,0.759,0.742,2.426,291
0.06,32,2.199,-37.37,0.759,0.742,2.426,291
0.06,33,2.199,-37.37,0.759,0.742,2.426,291
0.06,34,2.199,-37.37,0.759,0.742,2.426,291
0.06,35,3.253,-29.15,0.659,3.927,3.929,291
0.06,36,3.253,-29.15,0.659,3.927,3.929,291
0.06,37,3.253,-29.15,0.659,3.927,3.929,291
0.06,38,3.253,-29.15,0.659,3.927,3.929,291
0.06,39,3.253,-29.15,0.659,3.927,3.929,291
0.06,40,2.466,-35.08,0.784,3.477,3.036,289
0.06,41,2.466,-35.08,0.784,3.477,3.036,289
0.06,42,2.466,-35.08,0.784,3.477,3.036,289
0.06,43,2.466,-35.08,0.784,3.477,3.036,289
0.06,44,2.466,-35.08,0.784,3.477,3.036,289
0.07,30,2.522,-34.77,0.651,0.447,4.592,291
0.07,31,2.522,-34.77,0.651,0.447,4.592,291
0.07,32,2.522,-34.77,0.651,0.447,4.592,291
0.07,33,2.522,-34.77,0.651,0.447,4.592,291
0.07,34,2.522,-34.77,0.651,0.447,4.592,291
0.07,35,3.539,-31.34,0.579,3.78,6.876,291
0.07,36,3.539,-31.34,0.579,3.78,6.876,291
0.07,37,3.539,-31.34,0.579,3.78,6.876,291
0.07,38,3.539,-31.34,0.579,3.78,6.876,291
0.07,39,3.539,-31.34,0.579,3.78,6.876,291
0.07,40,2.741,-33.11,0.628,3.325,5.531,289
0.07,41,2.741,-33.11,0.628,3.325,5.531,289
0.07,42,2.741,-33.11,0.628,3.325,5.531,289
0.07,43,2.741,-33.11,0.628,3.325,5.531,289
0.07,44,2.741,-33.11,0.628,3.325,5.531,289
0.08,30,2.548,-31.54,0.661,0.486,4.592,291
0.08,31,2.548,-31.54,0.661,0.486,4.592,291
0.08,32,2.548,-31.54,0.661,0.486,4.592,291
0.08,33,2.548,-31.54,0.661,0.486,4.592,291
