n_removed,days_removed,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,3.7738,6015.66,-31.341,0.0,0.0
1,39.2%,3.6471,4457.68,-31.341,-0.1266,-1557.97
3,"39.2%, 35.8%, 28.0%",3.383,2687.01,-31.341,-0.3908,-3328.64
5,"39.2%, 35.8%, 28.0%, 27.0%, 26.7%",3.1111,1722.98,-34.801,-0.6626,-4292.67
10,"39.2%, 35.8%, 28.0%, 27.0%, 26.7% … +5 more",2.405,613.67,-47.265,-1.3688,-5401.99
