Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Calmar,level,1,-0.0695,0.2681,-0.0498,0.4274,256,
AvgDailyRet%,level,1,-0.0014,0.9791,-0.0349,0.4982,378,
CAGR%,level,1,-0.0453,0.3794,-0.0323,0.5316,378,
Sharpe,level,1,-0.0243,0.6814,-0.0231,0.6962,288,
Sharpe,delta,1,0.0448,0.4492,-0.0213,0.7196,287,
CAGR%,delta,1,-0.0265,0.6074,0.0204,0.6929,377,
Sortino,delta,1,0.0611,0.2362,-0.0191,0.7111,377,
AvgDailyRet%,delta,1,0.0991,0.0545,0.0065,0.9005,377,
Calmar,delta,1,-0.0115,0.8546,-0.0033,0.9579,255,
Sortino,level,1,0.0237,0.6466,-0.0016,0.9747,378,
Calmar,level,3,-0.107,0.0887,-0.0787,0.2113,254,
Sharpe,level,3,-0.073,0.2184,-0.0549,0.3549,286,
CAGR%,level,3,-0.0518,0.3162,-0.0373,0.471,376,
AvgDailyRet%,level,3,-0.0464,0.3697,-0.0363,0.4828,376,
Sortino,level,3,-0.0009,0.9855,0.021,0.6848,376,
CAGR%,delta,3,0.0074,0.8872,0.0203,0.6948,375,
Calmar,delta,3,0.0002,0.9978,0.0163,0.7961,253,
AvgDailyRet%,delta,3,0.0419,0.418,0.0136,0.793,375,
Sortino,delta,3,0.0554,0.285,0.0105,0.8396,375,
Sharpe,delta,3,0.0041,0.9447,-0.0097,0.8711,285,
Sortino,level,5,-0.0257,0.6199,0.0639,0.2173,374,
Calmar,delta,5,0.0147,0.8166,0.0473,0.4553,251,
Calmar,level,5,-0.1345,0.0329,-0.0384,0.5435,252,
CAGR%,delta,5,0.0263,0.6128,0.0374,0.4717,373,
AvgDailyRet%,delta,5,0.0662,0.2022,0.0256,0.6224,373,
Sharpe,delta,5,0.0231,0.6992,0.0198,0.7405,283,
Sharpe,level,5,-0.0763,0.1998,-0.0168,0.778,284,
Sortino,delta,5,0.0784,0.1305,0.0167,0.7476,373,
AvgDailyRet%,level,5,-0.0577,0.2659,0.016,0.7581,374,
CAGR%,level,5,-0.0873,0.0918,0.0143,0.7824,374,
