PORT_SL,PORT_TSL,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
-0.04,0.04,2.0995,261.25,-35.05,-11.303,7.453,2.0311,False
-0.04,0.045,2.2019,333.08,-33.844,-11.303,9.842,2.1347,False
-0.04,0.05,2.7916,517.31,-29.323,-11.303,17.642,0.992,False
-0.04,0.055,3.1081,683.71,-23.473,-11.303,29.127,0.6246,False
-0.04,0.06,3.1398,636.62,-22.32,-10.126,28.523,0.4608,False
-0.04,0.065,3.1329,647.11,-22.986,-10.126,28.153,0.4595,False
-0.04,0.075,3.0784,615.38,-22.76,-10.126,27.037,0.456,False
-0.04,0.08,3.0672,609.18,-22.76,-10.126,26.765,0.4599,False
-0.04,0.085,3.0231,593.47,-22.76,-10.126,26.075,0.47,False
-0.04,0.09,3.0231,593.47,-22.76,-10.126,26.075,0.47,False
-0.04,0.095,3.0898,628.28,-22.76,-10.126,27.604,0.439,False
-0.04,0.1,3.0898,628.28,-22.76,-10.126,27.604,0.439,False
-0.04,0.105,3.0898,628.28,-22.76,-10.126,27.604,0.439,False
-0.04,0.11,3.0898,628.28,-22.76,-10.126,27.604,0.439,False
-0.04,0.115,3.0898,628.28,-22.76,-10.126,27.604,0.439,False
-0.04,0.12,3.0898,628.28,-22.76,-10.126,27.604,0.439,False
-0.04,0.125,3.0898,628.28,-22.76,-10.126,27.604,0.439,False
-0.04,0.13,3.0898,628.28,-22.76,-10.126,27.604,0.439,False
-0.05,0.04,2.0995,261.25,-35.05,-11.303,7.453,2.0311,False
-0.05,0.045,2.4471,397.14,-34.415,-11.303,11.54,1.9613,False
-0.05,0.05,2.9898,574.99,-30.139,-11.303,19.078,0.9838,False
-0.05,0.055,3.4196,787.18,-24.357,-11.303,32.318,0.6209,False
-0.05,0.06,3.5003,747.01,-15.761,-9.665,47.395,0.4718,False
-0.05,0.065,3.5593,786.52,-18.322,-11.605,42.927,0.436,False
-0.05,0.075,3.6141,782.32,-17.822,-11.605,43.896,0.417,False
-0.05,0.08,3.6088,780.13,-17.826,-11.605,43.762,0.4182,False
-0.05,0.085,3.6091,788.36,-17.831,-11.605,44.213,0.4334,False
-0.05,0.09,3.6091,788.36,-17.831,-11.605,44.213,0.4334,False
-0.05,0.095,3.6668,847.01,-17.75,-11.605,47.72,0.401,False
-0.05,0.1,3.6516,853.93,-17.75,-11.605,48.109,0.4014,False
-0.05,0.105,3.6516,853.93,-17.75,-11.605,48.109,0.4014,False
-0.05,0.11,3.6516,853.93,-17.75,-11.605,48.109,0.4014,False
-0.05,0.115,3.6516,853.93,-17.75,-11.605,48.109,0.4014,False
-0.05,0.12,3.6516,853.93,-17.75,-11.605,48.109,0.4014,False
-0.05,0.125,3.6516,853.93,-17.75,-11.605,48.109,0.4014,False
-0.05,0.13,3.6516,853.93,-17.75,-11.605,48.109,0.4014,False
-0.055,0.04,2.0995,261.25,-35.05,-11.303,7.453,2.0311,False
-0.055,0.045,2.4471,397.14,-34.415,-11.303,11.54,1.9613,False
-0.055,0.05,2.9898,574.99,-30.139,-11.303,19.078,0.9838,False
-0.055,0.055,3.4098,786.52,-24.654,-11.303,31.903,0.6269,False
-0.055,0.06,3.4833,746.61,-15.473,-9.388,48.253,0.4799,False
-0.055,0.065,3.4987,780.43,-19.234,-12.59,40.576,0.4521,False
-0.055,0.075,3.5132,769.07,-18.627,-12.59,41.288,0.4448,False
-0.055,0.08,3.5028,765.0,-18.628,-12.59,41.067,0.4461,False
-0.055,0.085,3.5044,778.6,-18.614,-12.59,41.829,0.4579,False
-0.055,0.09,3.5044,778.6,-18.614,-12.59,41.829,0.4579,False
-0.055,0.095,3.5563,833.71,-18.605,-12.59,44.81,0.4268,False
-0.055,0.1,3.5235,828.87,-18.605,-12.59,44.55,0.4268,False
-0.055,0.105,3.5235,828.87,-18.605,-12.59,44.55,0.4268,False
-0.055,0.11,3.5235,828.87,-18.605,-12.59,44.55,0.4268,False
-0.055,0.115,3.5235,828.87,-18.605,-12.59,44.55,0.4268,False
-0.055,0.12,3.5235,828.87,-18.605,-12.59,44.55,0.4268,False
-0.055,0.125,3.5235,828.87,-18.605,-12.59,44.55,0.4268,False
-0.055,0.13,3.5235,828.87,-18.605,-12.59,44.55,0.4268,False
-0.06,0.04,2.0995,261.25,-35.05,-11.303,7.453,2.0311,False
-0.06,0.045,2.4471,397.14,-34.415,-11.303,11.54,1.9613,False
-0.06,0.05,2.9898,574.99,-30.139,-11.303,19.078,0.9838,False
-0.06,0.055,3.4098,786.52,-24.654,-11.303,31.903,0.6269,False
-0.06,0.06,3.4944,741.96,-15.851,-9.749,46.809,0.4805,False
-0.06,0.065,3.5151,776.41,-19.249,-12.59,40.334,0.4486,False
-0.06,0.075,3.7785,842.96,-16.707,-8.22,50.457,0.4518,True
-0.06,0.08,3.7598,837.23,-16.808,-8.172,49.811,0.4528,False
-0.06,0.085,3.7576,853.82,-17.751,-7.765,48.099,0.4621,False
-0.06,0.09,3.7576,853.82,-17.751,-7.765,48.099,0.4621,False
-0.06,0.095,3.805,912.7,-14.87,-8.803,61.378,0.4332,False
-0.06,0.1,3.763,901.96,-15.3,-8.803,58.951,0.4332,False
-0.06,0.105,3.763,901.96,-15.3,-8.803,58.951,0.4332,False
-0.06,0.11,3.752,896.03,-15.543,-8.803,57.65,0.4333,False
-0.06,0.115,3.741,890.51,-15.779,-8.803,56.438,0.4334,False
-0.06,0.12,3.741,890.51,-15.779,-8.803,56.438,0.4334,False
-0.06,0.125,3.741,890.51,-15.779,-8.803,56.438,0.4334,False
-0.06,0.13,3.741,890.51,-15.779,-8.803,56.438,0.4334,False
-0.065,0.04,2.0995,261.25,-35.05,-11.303,7.453,2.0311,False
-0.065,0.045,2.4471,397.14,-34.415,-11.303,11.54,1.9613,False
-0.065,0.05,2.9898,574.99,-30.139,-11.303,19.078,0.9838,False
-0.065,0.055,3.4098,786.52,-24.654,-11.303,31.903,0.6269,False
-0.065,0.06,3.4944,741.96,-15.851,-9.749,46.809,0.4805,False
-0.065,0.065,3.5155,776.6,-19.249,-12.59,40.346,0.4483,False
-0.065,0.075,3.7672,843.12,-16.679,-8.233,50.548,0.4604,False
-0.065,0.08,3.7626,837.86,-16.781,-7.827,49.928,0.4602,False
-0.065,0.085,3.7468,853.79,-17.725,-7.714,48.17,0.4787,False
-0.065,0.09,3.7425,856.66,-17.725,-7.714,48.332,0.4787,False
-0.065,0.095,3.7868,916.41,-15.071,-8.505,60.808,0.4433,False
-0.065,0.1,3.7279,885.32,-16.366,-8.505,54.094,0.4436,False
-0.065,0.105,3.7279,885.32,-16.366,-8.505,54.094,0.4436,False
-0.065,0.11,3.7189,881.2,-16.552,-8.505,53.238,0.4437,False
-0.065,0.115,3.6983,872.94,-16.949,-8.505,51.504,0.444,False
-0.065,0.12,3.6942,871.35,-17.026,-8.505,51.177,0.444,False
-0.065,0.125,3.6942,871.35,-17.026,-8.505,51.177,0.444,False
-0.065,0.13,3.6942,871.35,-17.026,-8.505,51.177,0.444,False
-0.07,0.04,2.0995,261.25,-35.05,-11.303,7.453,2.0311,False
-0.07,0.045,2.4471,397.14,-34.415,-11.303,11.54,1.9613,False
-0.07,0.05,2.9898,574.99,-30.139,-11.303,19.078,0.9838,False
-0.07,0.055,3.4098,786.52,-24.654,-11.303,31.903,0.6269,False
-0.07,0.06,3.4944,741.96,-15.851,-9.749,46.809,0.4805,False
-0.07,0.065,3.5155,776.6,-19.249,-12.59,40.346,0.4483,False
-0.07,0.075,3.7626,843.41,-16.679,-8.571,50.566,0.4626,False
-0.07,0.08,3.7516,838.45,-16.781,-8.661,49.964,0.4661,False
-0.07,0.085,3.7349,856.07,-17.725,-8.256,48.298,0.478,False
-0.07,0.09,3.7351,850.44,-17.725,-8.256,47.981,0.4781,False
-0.07,0.095,3.7772,908.91,-14.842,-9.411,61.237,0.4498,False
-0.07,0.1,3.7469,907.41,-14.842,-9.411,61.136,0.4497,False
-0.07,0.105,3.7469,907.41,-14.842,-9.411,61.136,0.4497,False
-0.07,0.11,3.7401,904.68,-14.949,-9.411,60.518,0.4497,False
-0.07,0.115,3.7223,897.75,-15.283,-9.411,58.741,0.4498,False
-0.07,0.12,3.7188,896.43,-15.348,-9.411,58.406,0.4499,False
-0.07,0.125,3.7188,896.43,-15.348,-9.411,58.406,0.4499,False
-0.07,0.13,3.7188,896.43,-15.348,-9.411,58.406,0.4499,False
-0.075,0.04,2.0995,261.25,-35.05,-11.303,7.453,2.0311,False
-0.075,0.045,2.4471,397.14,-34.415,-11.303,11.54,1.9613,False
-0.075,0.05,2.9898,574.99,-30.139,-11.303,19.078,0.9838,False
-0.075,0.055,3.4098,786.52,-24.654,-11.303,31.903,0.6269,False
-0.075,0.06,3.4944,741.96,-15.851,-9.749,46.809,0.4805,False
-0.075,0.065,3.5155,776.6,-19.249,-12.59,40.346,0.4483,False
-0.075,0.075,3.7626,843.41,-16.679,-8.571,50.566,0.4626,False
-0.075,0.08,3.7516,838.45,-16.781,-8.661,49.964,0.4661,False
-0.075,0.085,3.7964,867.19,-17.725,-8.781,48.926,0.4216,False
-0.075,0.09,3.797,861.5,-17.725,-8.781,48.605,0.4216,False
-0.075,0.095,3.8364,913.75,-14.842,-10.01,61.563,0.3992,False
-0.075,0.1,3.8059,913.19,-14.842,-10.01,61.526,0.3992,False
-0.075,0.105,3.8059,913.19,-14.842,-10.01,61.526,0.3992,False
-0.075,0.11,3.7989,910.48,-14.915,-10.01,61.044,0.3992,False
-0.075,0.115,3.7807,903.61,-15.245,-10.01,59.272,0.3993,False
-0.075,0.12,3.7771,902.29,-15.309,-10.01,58.938,0.3993,False
-0.075,0.125,3.7771,902.29,-15.309,-10.01,58.938,0.3993,False
-0.075,0.13,3.7771,902.29,-15.309,-10.01,58.938,0.3993,False
-0.08,0.04,2.0995,261.25,-35.05,-11.303,7.453,2.0311,False
-0.08,0.045,2.4471,397.14,-34.415,-11.303,11.54,1.9613,False
-0.08,0.05,2.9898,574.99,-30.139,-11.303,19.078,0.9838,False
-0.08,0.055,3.4098,786.52,-24.654,-11.303,31.903,0.6269,False
-0.08,0.06,3.4944,741.96,-15.851,-9.749,46.809,0.4805,False
-0.08,0.065,3.5155,776.6,-19.249,-12.59,40.346,0.4483,False
-0.08,0.075,3.7626,843.41,-16.679,-8.571,50.566,0.4626,False
-0.08,0.08,3.7516,838.45,-16.781,-8.661,49.964,0.4661,False
-0.08,0.085,3.7964,867.19,-17.725,-8.781,48.926,0.4216,False
-0.08,0.09,3.7957,861.21,-17.725,-8.854,48.588,0.4222,False
-0.08,0.095,3.8352,913.76,-14.858,-10.093,61.501,0.3997,False
-0.08,0.1,3.8047,913.2,-14.858,-10.093,61.464,0.3996,False
-0.08,0.105,3.8047,913.2,-14.858,-10.093,61.464,0.3996,False
-0.08,0.11,3.7978,910.49,-14.915,-10.093,61.045,0.3996,False
-0.08,0.115,3.7795,903.62,-15.245,-10.093,59.273,0.3997,False
-0.08,0.12,3.7759,902.3,-15.309,-10.093,58.939,0.3997,False
-0.08,0.125,3.7759,902.3,-15.309,-10.093,58.939,0.3997,False
-0.08,0.13,3.7759,902.3,-15.309,-10.093,58.939,0.3997,False
-0.085,0.04,2.0995,261.25,-35.05,-11.303,7.453,2.0311,False
-0.085,0.045,2.4471,397.14,-34.415,-11.303,11.54,1.9613,False
-0.085,0.05,2.9898,574.99,-30.139,-11.303,19.078,0.9838,False
-0.085,0.055,3.4098,786.52,-24.654,-11.303,31.903,0.6269,False
-0.085,0.06,3.4944,741.96,-15.851,-9.749,46.809,0.4805,False
-0.085,0.065,3.5155,776.6,-19.249,-12.59,40.346,0.4483,False
-0.085,0.075,3.7626,843.41,-16.679,-8.571,50.566,0.4626,False
-0.085,0.08,3.7516,838.45,-16.781,-8.661,49.964,0.4661,False
-0.085,0.085,3.7964,867.19,-17.725,-8.781,48.926,0.4216,False
-0.085,0.09,3.7957,861.21,-17.725,-8.854,48.588,0.4222,False
-0.085,0.095,3.8352,913.76,-14.858,-10.093,61.501,0.3997,False
-0.085,0.1,3.8047,913.2,-14.858,-10.093,61.464,0.3996,False
-0.085,0.105,3.8047,913.2,-14.858,-10.093,61.464,0.3996,False
-0.085,0.11,3.7978,910.49,-14.915,-10.093,61.045,0.3996,False
-0.085,0.115,3.7795,903.62,-15.245,-10.093,59.273,0.3997,False
-0.085,0.12,3.7759,902.3,-15.309,-10.093,58.939,0.3997,False
-0.085,0.125,3.7759,902.3,-15.309,-10.093,58.939,0.3997,False
-0.085,0.13,3.7759,902.3,-15.309,-10.093,58.939,0.3997,False
-0.1,0.04,2.0995,261.25,-35.05,-11.303,7.453,2.0311,False
-0.1,0.045,2.4471,397.14,-34.415,-11.303,11.54,1.9613,False
-0.1,0.05,2.9898,574.99,-30.139,-11.303,19.078,0.9838,False
-0.1,0.055,3.4098,786.52,-24.654,-11.303,31.903,0.6269,False
-0.1,0.06,3.4944,741.96,-15.851,-9.749,46.809,0.4805,False
-0.1,0.065,3.5155,776.6,-19.249,-12.59,40.346,0.4483,False
-0.1,0.075,3.7626,843.41,-16.679,-8.571,50.566,0.4626,False
-0.1,0.08,3.7516,838.45,-16.781,-8.661,49.964,0.4661,False
-0.1,0.085,3.7964,867.19,-17.725,-8.781,48.926,0.4216,False
-0.1,0.09,3.7957,861.21,-17.725,-8.854,48.588,0.4222,False
-0.1,0.095,3.8352,913.76,-14.858,-10.093,61.501,0.3997,False
-0.1,0.1,3.8047,913.2,-14.858,-10.093,61.464,0.3996,False
-0.1,0.105,3.8047,913.2,-14.858,-10.093,61.464,0.3996,False
-0.1,0.11,3.7978,910.49,-14.915,-10.093,61.045,0.3996,False
-0.1,0.115,3.7795,903.62,-15.245,-10.093,59.273,0.3997,False
-0.1,0.12,3.7759,902.3,-15.309,-10.093,58.939,0.3997,False
-0.1,0.125,3.7759,902.3,-15.309,-10.093,58.939,0.3997,False
-0.1,0.13,3.7759,902.3,-15.309,-10.093,58.939,0.3997,False
