EARLY_KILL_Y,EARLY_INSTILL_Y,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.001,0.001,3.8766,1121.28,-18.542,-8.21,60.473,0.4863,False
0.001,0.0015,3.7825,917.28,-18.533,-8.21,49.495,0.4306,False
0.001,0.002,3.7211,868.78,-18.936,-8.21,45.879,0.4351,False
0.001,0.0025,3.6956,804.72,-16.707,-8.22,48.168,0.4915,False
0.001,0.003,3.7785,842.96,-16.707,-8.22,50.457,0.4518,False
0.0015,0.001,3.7825,917.28,-18.533,-8.21,49.495,0.4306,False
0.0015,0.0015,3.7825,917.28,-18.533,-8.21,49.495,0.4306,False
0.0015,0.002,3.7211,868.78,-18.936,-8.21,45.879,0.4351,False
0.0015,0.0025,3.6956,804.72,-16.707,-8.22,48.168,0.4915,False
0.0015,0.003,3.7785,842.96,-16.707,-8.22,50.457,0.4518,False
0.002,0.001,3.7211,868.78,-18.936,-8.21,45.879,0.4351,False
0.002,0.0015,3.7211,868.78,-18.936,-8.21,45.879,0.4351,False
0.002,0.002,3.7211,868.78,-18.936,-8.21,45.879,0.4351,False
0.002,0.0025,3.6956,804.72,-16.707,-8.22,48.168,0.4915,False
0.002,0.003,3.7785,842.96,-16.707,-8.22,50.457,0.4518,False
0.0025,0.001,3.6956,804.72,-16.707,-8.22,48.168,0.4915,False
0.0025,0.0015,3.6956,804.72,-16.707,-8.22,48.168,0.4915,False
0.0025,0.002,3.6956,804.72,-16.707,-8.22,48.168,0.4915,False
0.0025,0.0025,3.6956,804.72,-16.707,-8.22,48.168,0.4915,False
0.0025,0.003,3.7785,842.96,-16.707,-8.22,50.457,0.4518,False
0.003,0.001,3.7785,842.96,-16.707,-8.22,50.457,0.4518,False
0.003,0.0015,3.7785,842.96,-16.707,-8.22,50.457,0.4518,False
0.003,0.002,3.7785,842.96,-16.707,-8.22,50.457,0.4518,False
0.003,0.0025,3.7785,842.96,-16.707,-8.22,50.457,0.4518,False
0.003,0.003,3.7785,842.96,-16.707,-8.22,50.457,0.4518,True
