Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sharpe,level,1,-0.0447,0.3864,-0.062,0.2294,378,
CAGR%,level,1,-0.0913,0.0762,-0.054,0.2948,378,
AvgDailyRet%,level,1,-0.057,0.269,-0.0497,0.3354,378,
Sharpe,delta,1,0.0841,0.1029,0.043,0.4047,377,
AvgDailyRet%,delta,1,0.036,0.4856,0.038,0.4621,377,
Calmar,level,1,-0.0987,0.0569,-0.0364,0.4833,373,
Calmar,delta,1,0.0093,0.8587,0.0304,0.5592,372,
CAGR%,delta,1,-0.0025,0.9607,0.0296,0.5665,377,
Sortino,delta,1,-0.0352,0.4953,0.0267,0.6048,377,
Sortino,level,1,-0.0112,0.828,-0.0068,0.8951,378,
Sharpe,level,3,-0.1123,0.0294,-0.0843,0.1028,376,
CAGR%,level,3,-0.1462,0.0045,-0.0778,0.1319,376,
AvgDailyRet%,level,3,-0.1101,0.0328,-0.0745,0.1491,376,
Calmar,level,3,-0.1683,0.0011,-0.0618,0.2353,371,
Calmar,delta,3,-0.0131,0.8024,0.0387,0.4579,370,
Sortino,delta,3,0.0291,0.5749,0.0332,0.5217,375,
Sharpe,delta,3,0.0472,0.3618,0.0173,0.7386,375,
CAGR%,delta,3,-0.0065,0.8995,0.012,0.8169,375,
AvgDailyRet%,delta,3,0.0044,0.9328,0.0096,0.853,375,
Sortino,level,3,0.0083,0.8724,-0.0002,0.9968,376,
Calmar,level,5,-0.2095,0.0001,-0.0952,0.0677,369,
Sharpe,level,5,-0.159,0.002,-0.0935,0.0709,374,
Calmar,delta,5,-0.0134,0.7972,0.0885,0.0899,368,
CAGR%,level,5,-0.195,0.0001,-0.0872,0.0922,374,
AvgDailyRet%,level,5,-0.1456,0.0048,-0.0848,0.1015,374,
CAGR%,delta,5,-0.0166,0.7491,0.0455,0.3807,373,
Sharpe,delta,5,0.0585,0.2596,0.0429,0.409,373,
AvgDailyRet%,delta,5,0.0268,0.6059,0.0344,0.5081,373,
Sortino,delta,5,0.0026,0.9603,0.032,0.538,373,
Sortino,level,5,-0.0205,0.6922,-0.0221,0.6698,374,
