Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sharpe,level,1,-0.0515,0.3145,-0.0673,0.1887,383,
Sortino,delta,1,0.0304,0.5513,0.0658,0.1966,387,
CAGR%,level,1,-0.0461,0.3647,-0.0635,0.2117,388,
AvgDailyRet%,level,1,-0.0359,0.4808,-0.0569,0.2635,388,
Calmar,level,1,-0.0176,0.7481,-0.0561,0.306,335,
Sharpe,delta,1,0.0986,0.0542,0.0385,0.4529,382,
Calmar,delta,1,0.0584,0.2871,0.0362,0.5098,334,
AvgDailyRet%,delta,1,0.0454,0.373,0.0286,0.5752,387,
Sortino,level,1,-0.0668,0.1889,-0.0258,0.6129,388,
CAGR%,delta,1,0.0426,0.4037,0.0213,0.6755,387,
Sharpe,level,3,-0.1403,0.0061,-0.1431,0.0051,381,yes
CAGR%,level,3,-0.1067,0.0361,-0.1167,0.0219,386,yes
AvgDailyRet%,level,3,-0.0845,0.0972,-0.1092,0.0319,386,yes
Calmar,level,3,0.0222,0.6858,-0.1055,0.0538,335,
Sortino,level,3,-0.1043,0.0405,-0.1026,0.044,386,yes
Sortino,delta,3,-0.0457,0.3715,0.0425,0.4052,385,
Sharpe,delta,3,0.0378,0.463,0.0324,0.5286,380,
AvgDailyRet%,delta,3,0.0066,0.8965,0.026,0.6104,385,
CAGR%,delta,3,-0.0289,0.5715,0.0179,0.7256,385,
Calmar,delta,3,0.0082,0.8811,0.0088,0.8725,334,
Sharpe,level,5,-0.1783,0.0005,-0.2035,0.0001,379,yes
CAGR%,level,5,-0.0682,0.1826,-0.135,0.0081,384,yes
AvgDailyRet%,level,5,-0.099,0.0525,-0.1302,0.0107,384,yes
Sortino,level,5,-0.1103,0.0307,-0.1273,0.0125,384,yes
Calmar,level,5,0.0339,0.5362,-0.0966,0.0774,335,
Calmar,delta,5,0.031,0.5722,0.0275,0.6171,334,
Sortino,delta,5,-0.0092,0.8579,0.0162,0.7518,383,
AvgDailyRet%,delta,5,0.025,0.6257,0.0154,0.7633,383,
Sharpe,delta,5,0.0112,0.8278,0.0113,0.8267,378,
CAGR%,delta,5,-0.02,0.6965,-0.0047,0.927,383,
