Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sharpe,level,1,-0.1159,0.0261,-0.087,0.0957,368,
CAGR%,level,1,0.0114,0.827,-0.084,0.1075,368,
Calmar,level,1,0.0069,0.8953,-0.083,0.1121,368,
AvgDailyRet%,level,1,-0.0954,0.0674,-0.0764,0.1435,368,
Calmar,delta,1,-0.0,0.9999,-0.0437,0.404,367,
CAGR%,delta,1,0.0027,0.9589,-0.038,0.4682,367,
Sortino,level,1,-0.0418,0.4243,-0.0243,0.6421,368,
Sharpe,delta,1,0.0449,0.3908,-0.0096,0.854,367,
AvgDailyRet%,delta,1,0.0182,0.7285,-0.0066,0.9003,367,
Sortino,delta,1,0.0058,0.912,0.0055,0.9169,367,
Calmar,level,3,-0.0165,0.753,-0.1375,0.0084,366,yes
CAGR%,level,3,-0.012,0.8197,-0.1364,0.009,366,yes
Sharpe,level,3,-0.2245,0.0,-0.1318,0.0116,366,yes
AvgDailyRet%,level,3,-0.1803,0.0005,-0.1286,0.0138,366,yes
Sortino,level,3,-0.081,0.1217,-0.0511,0.3292,366,
CAGR%,delta,3,0.0504,0.3372,-0.0296,0.5733,365,
Calmar,delta,3,0.0484,0.3562,-0.0258,0.6235,365,
AvgDailyRet%,delta,3,0.0183,0.7271,0.0085,0.8716,365,
Sharpe,delta,3,0.0239,0.6487,0.0033,0.9495,365,
Sortino,delta,3,0.0019,0.9709,0.0023,0.9656,365,
CAGR%,level,5,-0.0401,0.4461,-0.21,0.0001,364,yes
Calmar,level,5,-0.0455,0.3872,-0.2097,0.0001,364,yes
AvgDailyRet%,level,5,-0.2363,0.0,-0.2051,0.0001,364,yes
Sharpe,level,5,-0.2918,0.0,-0.1983,0.0001,364,yes
Sortino,level,5,-0.1078,0.0399,-0.113,0.0311,364,yes
CAGR%,delta,5,0.0275,0.6015,-0.0278,0.5971,363,
Calmar,delta,5,0.0257,0.6251,-0.022,0.6763,363,
AvgDailyRet%,delta,5,0.0204,0.6978,0.0158,0.7636,363,
Sharpe,delta,5,-0.0029,0.9553,0.0126,0.8112,363,
Sortino,delta,5,0.0143,0.7865,-0.0011,0.984,363,
