Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
CAGR%,delta,1,0.0187,0.7174,0.0545,0.2909,377,
Sharpe,delta,1,0.0969,0.0602,0.0443,0.3907,377,
Calmar,delta,1,0.03,0.5616,0.0415,0.4219,377,
AvgDailyRet%,delta,1,0.0483,0.3495,0.0413,0.4243,377,
Sortino,delta,1,0.0243,0.6388,0.0292,0.5714,377,
CAGR%,level,1,-0.0466,0.3659,-0.0114,0.8257,378,
Sortino,level,1,0.0238,0.6446,0.0108,0.8343,378,
AvgDailyRet%,level,1,-0.0168,0.7449,-0.0088,0.8646,378,
Calmar,level,1,-0.0401,0.4374,0.0087,0.8665,378,
Sharpe,level,1,-0.0152,0.7691,-0.0032,0.9507,378,
Sortino,delta,3,0.0332,0.5218,0.0581,0.2615,375,
Sharpe,delta,3,0.0647,0.2113,0.058,0.2626,375,
Calmar,delta,3,-0.0022,0.9664,0.0546,0.2912,375,
AvgDailyRet%,delta,3,0.0275,0.5961,0.0449,0.3855,375,
CAGR%,delta,3,-0.0057,0.913,0.0443,0.3925,375,
CAGR%,level,3,-0.1049,0.042,-0.021,0.6845,376,
Sortino,level,3,0.0489,0.3446,0.0209,0.6868,376,
AvgDailyRet%,level,3,-0.0482,0.351,-0.0161,0.7552,376,
Sharpe,level,3,-0.0648,0.2098,-0.0146,0.7771,376,
Calmar,level,3,-0.1071,0.038,-0.0014,0.979,376,
Sortino,delta,5,0.0655,0.2069,0.0918,0.0766,373,
Sharpe,delta,5,0.0902,0.082,0.0879,0.0901,373,
Calmar,delta,5,-0.0403,0.4378,0.0776,0.1349,373,
AvgDailyRet%,delta,5,0.0629,0.2255,0.0749,0.1486,373,
CAGR%,delta,5,-0.0452,0.3841,0.0607,0.2422,373,
Sharpe,level,5,-0.1001,0.0531,-0.0486,0.3489,374,
CAGR%,level,5,-0.1047,0.0431,-0.0394,0.4469,374,
AvgDailyRet%,level,5,-0.0702,0.1752,-0.0329,0.5265,374,
Calmar,level,5,-0.0995,0.0546,-0.0323,0.5334,374,
Sortino,level,5,0.0159,0.7597,-0.0165,0.7508,374,
