threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
0.95,0.7319,3,4.29,3,False,Robust plateau | baseline outside
0.975,0.7511,1,1.43,1,False,Single-cell peak | baseline outside
0.99,0.7627,1,1.43,1,False,Single-cell peak | baseline outside
