EARLY_FILL_Y,EARLY_KILL_Y,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.07,0.0,0.5534,9.38,-68.427,-27.192,0.137,3.697,False
0.07,0.0005,0.5534,9.38,-68.427,-27.192,0.137,3.697,False
0.07,0.0008,0.5534,9.38,-68.427,-27.192,0.137,3.697,False
0.07,0.001,0.5534,9.38,-68.427,-27.192,0.137,3.697,False
0.07,0.0015,0.5534,9.38,-68.427,-27.192,0.137,3.697,False
0.07,0.002,0.5534,9.38,-68.427,-27.192,0.137,3.697,False
0.07,0.0025,0.5534,9.38,-68.427,-27.192,0.137,3.697,False
0.07,0.003,0.5534,9.38,-68.427,-27.192,0.137,3.697,False
0.08,0.0,0.4819,1.86,-68.427,-27.192,0.027,4.0596,False
0.08,0.0005,0.4819,1.86,-68.427,-27.192,0.027,4.0596,False
0.08,0.0008,0.4819,1.86,-68.427,-27.192,0.027,4.0596,False
0.08,0.001,0.4819,1.86,-68.427,-27.192,0.027,4.0596,False
0.08,0.0015,0.4819,1.86,-68.427,-27.192,0.027,4.0596,False
0.08,0.002,0.4819,1.86,-68.427,-27.192,0.027,4.0596,False
0.08,0.0025,0.4819,1.86,-68.427,-27.192,0.027,4.0596,False
0.08,0.003,0.4819,1.86,-68.427,-27.192,0.027,4.0596,False
0.09,0.0,0.6127,14.86,-67.77,-27.192,0.219,3.6999,False
0.09,0.0005,0.6127,14.86,-67.77,-27.192,0.219,3.6999,False
0.09,0.0008,0.6127,14.86,-67.77,-27.192,0.219,3.6999,False
0.09,0.001,0.6127,14.86,-67.77,-27.192,0.219,3.6999,False
0.09,0.0015,0.6127,14.86,-67.77,-27.192,0.219,3.6999,False
0.09,0.002,0.6127,14.86,-67.77,-27.192,0.219,3.6999,False
0.09,0.0025,0.6127,14.86,-67.77,-27.192,0.219,3.6999,False
0.09,0.003,0.6127,14.86,-67.77,-27.192,0.219,3.6999,True
0.1,0.0,0.7704,34.13,-67.185,-27.192,0.508,3.4765,False
0.1,0.0005,0.7704,34.13,-67.185,-27.192,0.508,3.4765,False
0.1,0.0008,0.7704,34.13,-67.185,-27.192,0.508,3.4765,False
0.1,0.001,0.7704,34.13,-67.185,-27.192,0.508,3.4765,False
0.1,0.0015,0.7704,34.13,-67.185,-27.192,0.508,3.4765,False
0.1,0.002,0.7704,34.13,-67.185,-27.192,0.508,3.4765,False
0.1,0.0025,0.7704,34.13,-67.185,-27.192,0.508,3.4765,False
0.1,0.003,0.7704,34.13,-67.185,-27.192,0.508,3.4765,False
0.15,0.0,0.4769,1.93,-66.863,-27.192,0.029,6.4513,False
0.15,0.0005,0.4769,1.93,-66.863,-27.192,0.029,6.4513,False
0.15,0.0008,0.4769,1.93,-66.863,-27.192,0.029,6.4513,False
0.15,0.001,0.4769,1.93,-66.863,-27.192,0.029,6.4513,False
0.15,0.0015,0.4769,1.93,-66.863,-27.192,0.029,6.4513,False
0.15,0.002,0.4769,1.93,-66.863,-27.192,0.029,6.4513,False
0.15,0.0025,0.4769,1.93,-66.863,-27.192,0.029,6.4513,False
0.15,0.003,0.4769,1.93,-66.863,-27.192,0.029,6.4513,False
0.175,0.0,0.512,5.04,-66.863,-27.192,0.075,6.5259,False
0.175,0.0005,0.512,5.04,-66.863,-27.192,0.075,6.5259,False
0.175,0.0008,0.512,5.04,-66.863,-27.192,0.075,6.5259,False
0.175,0.001,0.512,5.04,-66.863,-27.192,0.075,6.5259,False
0.175,0.0015,0.512,5.04,-66.863,-27.192,0.075,6.5259,False
0.175,0.002,0.512,5.04,-66.863,-27.192,0.075,6.5259,False
0.175,0.0025,0.512,5.04,-66.863,-27.192,0.075,6.5259,False
0.175,0.003,0.512,5.04,-66.863,-27.192,0.075,6.5259,False
0.2,0.0,0.5705,11.4,-65.624,-27.192,0.174,6.5628,False
0.2,0.0005,0.5705,11.4,-65.624,-27.192,0.174,6.5628,False
0.2,0.0008,0.5705,11.4,-65.624,-27.192,0.174,6.5628,False
0.2,0.001,0.5705,11.4,-65.624,-27.192,0.174,6.5628,False
