aum_usd,impact_one_way_pct,rt_cost_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
100000,0.58745,1.1749,-0.433,-0.9269,-62.67,-82.81,-0.76,Unusable
143844,0.70456,1.40911,-0.6172,-1.1111,-69.35,-84.83,-0.82,Unusable
206913,0.84501,1.69003,-0.8374,-1.3313,-75.82,-86.94,-0.87,Unusable
297635,1.01347,2.02694,-1.0999,-1.5938,-81.82,-89.24,-0.92,Unusable
428133,1.21551,2.43102,-1.4119,-1.9058,-87.1,-91.52,-0.95,Unusable
615848,1.45783,2.91566,-1.7809,-2.2748,-91.47,-93.87,-0.97,Unusable
885866,1.74845,3.49691,-2.2142,-2.7081,-94.82,-96.04,-0.99,Unusable
1274274,2.09701,4.19403,-2.718,-3.2119,-97.17,-97.95,-0.99,Unusable
1832980,2.51506,5.03012,-3.2956,-3.7894,-98.63,-99.07,-1.0,Unusable
2636650,3.01645,6.0329,-3.9451,-4.439,-99.43,-99.65,-1.0,Unusable
3792690,3.61779,7.23558,-4.6572,-5.1511,-99.81,-99.89,-1.0,Unusable
5455594,4.33901,8.67802,-5.4127,-5.9066,-99.95,-99.97,-1.0,Unusable
7847599,5.20401,10.40802,-6.183,-6.6769,-99.99,-100.0,-1.0,Unusable
11288378,6.24145,12.4829,-6.9328,-7.4267,-100.0,-100.0,-1.0,Unusable
16237767,7.48571,14.97142,-7.6268,-8.1207,-100.0,-100.0,-1.0,Unusable
23357214,8.97802,17.95603,-8.237,-8.7309,-100.0,-100.0,-1.0,Unusable
33598182,10.76782,21.53564,-8.748,-9.2419,-100.0,-100.0,-1.0,Unusable
48329302,12.91443,25.82885,-9.1577,-9.6516,-100.0,-100.0,-1.0,Unusable
69519279,15.48897,30.97794,-9.4744,-9.9683,-100.0,-100.0,-1.0,Unusable
100000000,18.57675,37.15351,-9.7122,-10.2061,-100.0,-100.0,-1.0,Unusable
