Top N%,N days,Return sum,% of gross +,Threshold,Flag
1,1,0.3702,9.3,20.0,✓
5,4,1.3756,34.6,45.0,✓
10,9,2.2991,57.9,65.0,✓
20,18,3.1484,79.2,,
25,22,3.3868,85.2,,
