L_HIGH,Sharpe,CAGR%,MaxDD%,Flat_days,IS_Sharpe,OOS_Sharpe,Decay%,WF_CV,WF_MeanOOS,WF_PctPos%,WF_Unstable,Fold5_Sharpe,Fold8_Sharpe
0.8,0.565,8.8,-14.08,313,0.565,,,3.904,0.926,66.7,3,-3.672,3.778
0.9,0.578,10.8,-17.54,313,0.578,,,3.904,0.926,66.7,3,-3.672,3.778
1.0,0.587,12.9,-21.29,313,0.587,,,3.904,0.926,66.7,3,-3.672,3.778
1.1,0.594,15.0,-25.27,313,0.594,,,3.904,0.926,66.7,3,-3.672,3.778
1.2,0.602,16.7,-29.4,313,0.602,,,3.865,0.945,66.7,3,-3.806,3.782
1.3,0.581,16.9,-33.61,313,0.581,,,3.847,0.956,66.7,3,-3.913,3.783
1.4,0.572,17.3,-37.43,313,0.572,,,3.824,0.965,66.7,3,-3.962,3.782
1.5,0.576,18.2,-41.31,313,0.576,,,3.81,0.97,66.7,3,-4.002,3.779
1.6,0.591,19.5,-45.22,313,0.591,,,3.793,0.977,66.7,3,-4.035,3.775
1.7,0.601,20.4,-49.12,313,0.601,,,3.777,0.983,66.7,3,-4.063,3.77
1.8,0.608,20.7,-53.0,313,0.608,,,3.762,0.988,66.7,3,-4.085,3.765
1.9,0.614,20.5,-56.82,313,0.614,,,3.746,0.994,66.7,3,-4.102,3.76
2.0,0.62,19.9,-60.58,313,0.62,,,3.731,1.0,66.7,3,-4.116,3.755
2.1,0.619,18.0,-64.23,313,0.619,,,3.715,1.005,66.7,3,-4.126,3.75
2.2,0.613,14.9,-67.77,313,0.613,,,3.7,1.011,66.7,3,-4.134,3.745
2.3,0.622,14.1,-69.62,313,0.622,,,3.69,1.014,66.7,3,-4.134,3.74
2.4,0.632,13.3,-71.38,313,0.632,,,3.681,1.017,66.7,3,-4.134,3.735
2.5,0.639,11.9,-73.07,313,0.639,,,3.68,1.017,66.7,3,-4.134,3.73
2.6,0.641,9.9,-74.68,313,0.641,,,3.692,1.013,66.7,3,-4.134,3.726
2.7,0.643,7.7,-76.21,313,0.643,,,3.703,1.01,66.7,3,-4.134,3.721
2.8,0.649,5.8,-77.67,313,0.649,,,3.709,1.008,66.7,3,-4.134,3.717
2.9,0.659,4.2,-79.06,313,0.659,,,3.71,1.007,66.7,3,-4.134,3.713
3.0,0.668,2.4,-80.39,313,0.668,,,3.712,1.007,66.7,3,-4.134,3.709
