blocks_removed,removed_returns,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,0.4939,-0.37,-68.037,0.0,0.0
1,+78.0%,-0.1133,-41.27,-73.986,-0.6071,-40.9
2,"+78.0%, +47.4%",-0.4257,-53.76,-73.986,-0.9195,-53.39
3,"+78.0%, +47.4%, +38.2%",-0.8691,-66.58,-81.744,-1.363,-66.22
