EARLY_KILL_Y,EARLY_INSTILL_Y,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.001,0.001,1.3833,167.6,-76.573,-27.192,2.189,1.6741,False
0.001,0.0015,1.2267,121.54,-72.058,-27.192,1.687,1.8133,False
0.001,0.002,1.4178,174.08,-71.4,-27.192,2.438,1.7714,False
0.001,0.0025,0.884,48.46,-71.0,-27.192,0.683,3.8462,False
0.001,0.003,0.6127,14.86,-67.77,-27.192,0.219,3.6999,False
0.0015,0.001,1.2267,121.54,-72.058,-27.192,1.687,1.8133,False
0.0015,0.0015,1.2267,121.54,-72.058,-27.192,1.687,1.8133,False
0.0015,0.002,1.4178,174.08,-71.4,-27.192,2.438,1.7714,False
0.0015,0.0025,0.884,48.46,-71.0,-27.192,0.683,3.8462,False
0.0015,0.003,0.6127,14.86,-67.77,-27.192,0.219,3.6999,False
0.002,0.001,1.4178,174.08,-71.4,-27.192,2.438,1.7714,False
0.002,0.0015,1.4178,174.08,-71.4,-27.192,2.438,1.7714,False
0.002,0.002,1.4178,174.08,-71.4,-27.192,2.438,1.7714,False
0.002,0.0025,0.884,48.46,-71.0,-27.192,0.683,3.8462,False
0.002,0.003,0.6127,14.86,-67.77,-27.192,0.219,3.6999,False
0.0025,0.001,0.884,48.46,-71.0,-27.192,0.683,3.8462,False
0.0025,0.0015,0.884,48.46,-71.0,-27.192,0.683,3.8462,False
0.0025,0.002,0.884,48.46,-71.0,-27.192,0.683,3.8462,False
0.0025,0.0025,0.884,48.46,-71.0,-27.192,0.683,3.8462,False
0.0025,0.003,0.6127,14.86,-67.77,-27.192,0.219,3.6999,False
0.003,0.001,0.6127,14.86,-67.77,-27.192,0.219,3.6999,False
0.003,0.0015,0.6127,14.86,-67.77,-27.192,0.219,3.6999,False
0.003,0.002,0.6127,14.86,-67.77,-27.192,0.219,3.6999,False
0.003,0.0025,0.6127,14.86,-67.77,-27.192,0.219,3.6999,False
0.003,0.003,0.6127,14.86,-67.77,-27.192,0.219,3.6999,True
