surface,param_x,param_y,threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.95,1.1808,8,12.5,8,False,Robust plateau | baseline outside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.975,1.2118,8,12.5,8,False,Robust plateau | baseline outside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.99,1.2305,8,12.5,8,False,Robust plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.95,0.7235,1,0.56,1,False,Single-cell peak | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.975,0.7426,1,0.56,1,False,Single-cell peak | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.99,0.754,1,0.56,1,False,Single-cell peak | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.95,0.6122,108,100.0,108,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.975,0.6283,72,66.67,48,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.99,0.638,12,11.11,12,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.95,0.7091,9,4.55,9,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.975,0.7277,8,4.04,8,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.99,0.7389,4,2.02,4,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.95,0.7553,5,6.25,5,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.975,0.7752,2,2.5,2,False,Thin plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.99,0.7871,1,1.25,1,False,Single-cell peak | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.95,0.6797,56,70.0,48,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.975,0.6976,56,70.0,48,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.99,0.7083,16,20.0,8,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.95,0.7319,8,10.0,8,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.975,0.7511,8,10.0,8,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.99,0.7627,8,10.0,8,False,Robust plateau | baseline outside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.95,0.7319,8,8.33,8,False,Robust plateau | baseline outside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.975,0.7511,8,8.33,8,False,Robust plateau | baseline outside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.99,0.7627,8,8.33,8,False,Robust plateau | baseline outside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.95,0.7319,3,4.29,3,False,Robust plateau | baseline outside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.975,0.7511,1,1.43,1,False,Single-cell peak | baseline outside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.99,0.7627,1,1.43,1,False,Single-cell peak | baseline outside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.95,1.3469,6,24.0,5,False,Robust plateau | baseline outside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.975,1.3824,6,24.0,5,False,Robust plateau | baseline outside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.99,1.4036,5,20.0,5,False,Robust plateau | baseline outside
