window_days,min_cum_ret,start_idx,end_idx
1,-0.271920,273,273
3,-0.271920,271,273
7,-0.432312,258,264
14,-0.689370,263,276
21,-0.853942,259,279
30,-0.982532,254,283
40,-0.934462,244,283
50,-0.838322,255,304
60,-0.852347,246,305
70,-0.755107,236,305
80,-0.740080,71,150
90,-0.465355,111,200
100,-0.515625,87,186
