mode,level,mean_sharpe,std_sharpe,min_sharpe,mean_cagr,mean_maxdd,score,worst_score,n_trials
return_noise,0.001,2.9692,0.0,2.9691,584.39,-19.91,4.8523,4.8521,100
return_noise,0.003,2.9692,0.0001,2.9689,584.4,-19.91,4.8523,4.8518,100
return_noise,0.005,2.9692,0.0002,2.9687,584.4,-19.91,4.8523,4.8514,100
return_noise,0.01,2.9692,0.0004,2.968,584.3,-19.91,4.8523,4.8502,100
signal_shuffle,0.02,0.6073,0.0926,0.3409,14.77,-67.8,0.9924,0.5571,100
signal_shuffle,0.05,0.5629,0.1807,0.0479,10.97,-67.99,0.92,0.0782,100
signal_shuffle,0.1,0.569,0.2247,0.0421,12.63,-67.63,0.9298,0.0688,100
signal_shuffle,0.2,0.5595,0.3566,-0.078,15.8,-67.59,0.9144,-0.1275,100
ranking_noise,0.02,0.551,0.1348,0.1792,9.16,-68.39,0.9005,0.2929,100
ranking_noise,0.05,0.5413,0.2541,-0.0469,10.16,-67.63,0.8845,-0.0766,100
ranking_noise,0.1,0.5269,0.3522,-0.2383,11.41,-68.41,0.8611,-0.3895,100
