drop_pct,vol_mult,Sharpe,CAGR%,MaxDD%,Active,Flat,WF_CV,WF_MeanOOS,WF_PctPos%,WF_Unstable
0.02,1.4,0.287,-0.8,-39.02,84,314,4.907,0.659,66.7,3
0.023,1.4,0.468,10.9,-39.02,87,311,3.191,1.025,77.8,2
0.024,1.4,0.468,10.9,-39.02,87,311,3.191,1.025,77.8,2
0.025,1.4,0.468,10.9,-39.02,87,311,3.191,1.025,77.8,2
0.026,1.4,0.468,10.9,-39.02,87,311,3.191,1.025,77.8,2
0.027,1.4,0.306,-0.4,-39.02,89,309,5.198,0.657,66.7,3
0.028,1.4,0.306,-0.4,-39.02,89,309,5.198,0.657,66.7,3
0.029,1.4,0.387,4.9,-39.02,90,308,4.455,0.766,66.7,3
0.03,1.4,0.513,13.6,-39.02,91,307,4.455,0.766,66.7,3
0.031,1.4,0.452,9.2,-41.6,92,306,4.455,0.766,66.7,3
0.032,1.4,0.452,9.2,-41.6,92,306,4.455,0.766,66.7,3
0.033,1.4,0.401,5.7,-41.6,93,305,4.455,0.766,66.7,3
0.034,1.4,0.401,5.7,-41.6,93,305,4.455,0.766,66.7,3
0.035,1.4,0.401,5.7,-41.6,93,305,4.455,0.766,66.7,3
0.04,1.4,0.206,-7.5,-46.88,94,304,6.449,0.56,66.7,3
