period,n,win_rate,avg,avg_win,avg_loss,best,worst,n_wins,n_losses
daily,398,0.110553,0.001416,0.090308,-0.074132,0.37015,-0.27192,44,46
weekly,56,0.392857,0.010079,0.125934,-0.116112,0.385609,-0.388589,22,19
monthly,13,0.538462,0.051237,0.309632,-0.250224,0.779536,-0.363569,7,6
