shock_pct,n_shocks,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_maxdd_pct,survived
0,0,0.4939,-0.37,-68.037,0.0,0.0,True
-10.0,1,0.3863,-11.24,-71.822,-0.1076,-3.785,False
-10.0,3,0.21,-26.84,-77.176,-0.2839,-9.139,False
-10.0,5,0.0393,-39.52,-81.454,-0.4546,-13.416,False
-20.0,1,0.2953,-20.33,-74.953,-0.1985,-6.916,False
-20.0,3,-0.0479,-47.09,-83.97,-0.5418,-15.933,False
-20.0,5,-0.3684,-64.76,-89.708,-0.8623,-21.671,False
-30.0,1,0.205,-29.51,-78.084,-0.2889,-10.047,False
-30.0,3,-0.2828,-63.36,-89.261,-0.7767,-21.224,False
-30.0,5,-0.7129,-80.89,-94.721,-1.2068,-26.684,False
-40.0,1,0.1173,-38.81,-81.215,-0.3765,-13.178,False
-40.0,3,-0.4865,-76.02,-93.237,-0.9804,-25.2,False
-40.0,5,-0.987,-90.58,-97.558,-1.4808,-29.52,False
