PORT_SL,L_HIGH,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
-0.04,0.8,2.4652,161.72,-15.681,-4.57,10.314,1.0895,False
-0.04,1.0,2.4652,223.96,-19.278,-5.713,11.617,1.0895,False
-0.04,1.2,2.4652,296.83,-22.753,-6.855,13.045,1.0895,False
-0.04,1.4,2.4652,381.11,-26.109,-7.997,14.597,1.0895,False
-0.04,1.5,2.4652,427.73,-27.743,-8.569,15.417,1.0895,False
-0.04,1.6,2.4652,477.42,-29.349,-9.14,16.267,1.0895,False
-0.04,1.8,2.4652,586.13,-32.475,-10.283,18.049,1.0895,False
-0.04,2.0,2.4652,707.34,-35.491,-11.425,19.93,1.0895,False
-0.05,0.8,2.7537,198.05,-14.557,-4.57,13.605,0.8458,False
-0.05,1.0,2.7537,280.89,-17.935,-5.713,15.662,0.8458,False
-0.05,1.2,2.7537,381.56,-21.247,-6.855,17.958,0.8458,False
-0.05,1.4,2.7537,502.44,-24.822,-7.997,20.242,0.8458,False
-0.05,1.5,2.7537,571.19,-26.6,-8.569,21.473,0.8458,False
-0.05,1.6,2.7537,645.86,-28.37,-9.14,22.765,0.8458,False
-0.05,1.8,2.7537,814.01,-31.881,-10.283,25.533,0.8458,False
-0.05,2.0,2.7537,1008.79,-35.344,-11.425,28.542,0.8458,False
-0.055,0.8,2.7369,198.51,-17.213,-5.248,11.533,0.9605,False
-0.055,1.0,2.7369,281.39,-21.45,-6.56,13.118,0.9605,False
-0.055,1.2,2.7369,381.97,-25.63,-7.872,14.903,0.9605,False
-0.055,1.4,2.7369,502.5,-29.738,-9.184,16.897,0.9605,False
-0.055,1.5,2.7369,570.95,-31.762,-9.84,17.976,0.9605,False
-0.055,1.6,2.7369,645.18,-33.763,-10.496,19.109,0.9605,False
-0.055,1.8,2.7369,811.98,-37.693,-11.808,21.542,0.9605,False
-0.055,2.0,2.7369,1004.54,-41.518,-13.12,24.195,0.9605,False
-0.06,0.8,2.7933,206.26,-16.193,-5.798,12.738,0.915,False
-0.06,1.0,2.7933,293.75,-19.917,-7.247,14.749,0.915,False
-0.06,1.2,2.7933,400.69,-23.518,-8.697,17.037,0.915,False
-0.06,1.4,2.7933,529.77,-26.998,-10.146,19.622,0.915,False
-0.06,1.5,2.7933,603.46,-28.694,-10.871,21.031,0.915,False
-0.06,1.6,2.7933,683.66,-30.36,-11.596,22.519,0.915,False
-0.06,1.8,2.7933,864.86,-33.606,-13.045,25.735,0.915,False
-0.06,2.0,2.7933,1075.53,-36.739,-14.495,29.275,0.915,False
-0.065,0.8,3.0749,242.68,-17.026,-5.798,14.253,0.9012,False
-0.065,1.0,3.0749,353.33,-20.925,-7.247,16.885,0.9012,False
-0.065,1.2,3.0749,493.22,-24.688,-8.697,19.978,0.9012,False
-0.065,1.4,3.0749,668.01,-28.317,-10.146,23.59,0.9012,False
-0.065,1.5,3.0749,770.41,-30.083,-10.871,25.609,0.9012,False
-0.065,1.6,3.0749,883.87,-31.817,-11.596,27.78,0.9012,False
-0.065,1.8,3.0749,1147.32,-35.189,-13.045,32.605,0.9012,False
-0.065,2.0,3.0749,1465.1,-38.437,-14.495,38.117,0.9012,False
-0.07,0.8,3.0987,245.49,-15.829,-6.096,15.509,0.8731,False
-0.07,1.0,3.0987,358.02,-19.479,-7.62,18.38,0.8731,False
-0.07,1.2,3.0987,500.67,-23.011,-9.144,21.758,0.8731,False
-0.07,1.4,3.0987,679.4,-26.427,-10.668,25.708,0.8731,False
-0.07,1.5,3.0987,784.31,-28.093,-11.43,27.918,0.8731,False
-0.07,1.6,3.0987,900.73,-29.731,-12.192,30.296,0.8731,False
-0.07,1.8,3.0987,1171.65,-32.925,-13.716,35.585,0.8731,False
-0.07,2.0,3.0987,1499.43,-36.011,-15.24,41.638,0.8731,False
-0.075,0.8,3.0859,244.1,-15.829,-6.21,15.421,0.8787,False
-0.075,1.0,3.0859,355.69,-19.479,-7.763,18.26,0.8787,False
-0.075,1.2,3.0859,496.94,-23.011,-9.315,21.596,0.8787,False
-0.075,1.4,3.0859,673.66,-26.427,-10.867,25.491,0.8787,False
-0.075,1.5,3.0859,777.28,-28.093,-11.644,27.668,0.8787,False
-0.075,1.6,3.0859,892.17,-29.731,-12.42,30.008,0.8787,False
-0.075,1.8,3.0859,1159.21,-32.925,-13.972,35.208,0.8787,False
-0.075,2.0,3.0859,1481.76,-36.011,-15.525,41.147,0.8787,False
-0.08,0.8,3.0859,244.1,-15.829,-6.21,15.421,0.8787,False
-0.08,1.0,3.0859,355.69,-19.479,-7.763,18.26,0.8787,False
-0.08,1.2,3.0859,496.94,-23.011,-9.315,21.596,0.8787,False
-0.08,1.4,3.0859,673.66,-26.427,-10.867,25.491,0.8787,False
-0.08,1.5,3.0859,777.28,-28.093,-11.644,27.668,0.8787,False
-0.08,1.6,3.0859,892.17,-29.731,-12.42,30.008,0.8787,False
-0.08,1.8,3.0859,1159.21,-32.925,-13.972,35.208,0.8787,False
-0.08,2.0,3.0859,1481.76,-36.011,-15.525,41.147,0.8787,False
-0.085,0.8,3.0859,244.1,-15.829,-6.21,15.421,0.8787,False
-0.085,1.0,3.0859,355.69,-19.479,-7.763,18.26,0.8787,False
-0.085,1.2,3.0859,496.94,-23.011,-9.315,21.596,0.8787,False
-0.085,1.4,3.0859,673.66,-26.427,-10.867,25.491,0.8787,False
-0.085,1.5,3.0859,777.28,-28.093,-11.644,27.668,0.8787,False
-0.085,1.6,3.0859,892.17,-29.731,-12.42,30.008,0.8787,False
-0.085,1.8,3.0859,1159.21,-32.925,-13.972,35.208,0.8787,False
-0.085,2.0,3.0859,1481.76,-36.011,-15.525,41.147,0.8787,False
-0.1,0.8,3.0859,244.1,-15.829,-6.21,15.421,0.8787,False
-0.1,1.0,3.0859,355.69,-19.479,-7.763,18.26,0.8787,False
-0.1,1.2,3.0859,496.94,-23.011,-9.315,21.596,0.8787,False
-0.1,1.4,3.0859,673.66,-26.427,-10.867,25.491,0.8787,False
-0.1,1.5,3.0859,777.28,-28.093,-11.644,27.668,0.8787,False
-0.1,1.6,3.0859,892.17,-29.731,-12.42,30.008,0.8787,False
-0.1,1.8,3.0859,1159.21,-32.925,-13.972,35.208,0.8787,False
-0.1,2.0,3.0859,1481.76,-36.011,-15.525,41.147,0.8787,False
