blocks_removed,removed_returns,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,2.7898,1317.37,-39.762,0.0,0.0
1,+152.1%,2.1775,507.08,-39.762,-0.6123,-810.29
2,"+152.1%, +74.6%",1.7959,284.96,-39.762,-0.9939,-1032.4
3,"+152.1%, +74.6%, +58.3%",1.4076,152.64,-39.762,-1.3822,-1164.73
