Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sharpe,delta,1,0.0913,0.0768,0.0321,0.5338,377,
CAGR%,delta,1,-0.0436,0.398,0.0298,0.5636,377,
Sortino,delta,1,0.0188,0.7165,-0.0272,0.5991,377,
CAGR%,level,1,-0.062,0.2288,-0.0271,0.5988,378,
AvgDailyRet%,level,1,-0.0276,0.5922,-0.0265,0.6075,378,
Calmar,level,1,-0.0606,0.2497,-0.0201,0.7021,363,
AvgDailyRet%,delta,1,0.0437,0.3975,0.0175,0.7355,377,
Calmar,delta,1,-0.0751,0.1537,0.0105,0.8421,362,
Sharpe,level,1,-0.0218,0.673,-0.0079,0.8777,378,
Sortino,level,1,-0.0049,0.9239,0.0001,0.9984,378,
Calmar,delta,3,-0.0378,0.4743,0.0574,0.2773,360,
CAGR%,delta,3,-0.0328,0.5261,0.0431,0.4055,375,
Sharpe,delta,3,0.0928,0.0725,0.0359,0.4885,375,
AvgDailyRet%,delta,3,0.0465,0.3692,0.0304,0.5577,375,
Sortino,delta,3,-0.0117,0.822,0.0296,0.5672,375,
CAGR%,level,3,-0.0692,0.1805,-0.026,0.6159,376,
AvgDailyRet%,level,3,-0.0735,0.1547,-0.0217,0.6747,376,
Sortino,level,3,-0.0035,0.9457,0.0166,0.7486,376,
Sharpe,level,3,-0.082,0.1124,-0.0085,0.8692,376,
Calmar,level,3,-0.0372,0.4806,-0.008,0.88,361,
CAGR%,level,5,-0.0686,0.1857,-0.0614,0.2361,374,
AvgDailyRet%,level,5,-0.1054,0.0417,-0.0574,0.2685,374,
Calmar,delta,5,0.0132,0.8038,0.0535,0.3126,358,
Sharpe,level,5,-0.1347,0.0091,-0.0515,0.3201,374,
Sharpe,delta,5,0.0958,0.0646,0.0499,0.3361,373,
Calmar,level,5,-0.0496,0.3485,-0.0371,0.4837,359,
CAGR%,delta,5,-0.0013,0.9807,0.0363,0.4844,373,
AvgDailyRet%,delta,5,0.0675,0.1931,0.0324,0.5326,373,
Sortino,delta,5,0.0567,0.2748,0.0224,0.6665,373,
Sortino,level,5,-0.0021,0.9678,-0.0185,0.7215,374,
