Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
CAGR%,level,1,-0.0088,0.8668,-0.124,0.0173,368,yes
Calmar,level,1,-0.0215,0.681,-0.1231,0.0182,368,yes
Sharpe,level,1,-0.1314,0.0116,-0.119,0.0225,368,yes
AvgDailyRet%,level,1,-0.1216,0.0196,-0.1128,0.0305,368,yes
Sortino,level,1,-0.0135,0.7965,-0.07,0.18,368,
AvgDailyRet%,delta,1,0.0109,0.8353,-0.052,0.3206,367,
Sharpe,delta,1,0.0516,0.3239,-0.0442,0.3986,367,
Sortino,delta,1,-0.0169,0.7473,-0.0422,0.4198,367,
CAGR%,delta,1,0.0104,0.8427,-0.0315,0.5478,367,
Calmar,delta,1,0.0112,0.8304,-0.0229,0.6625,367,
Calmar,level,3,-0.0536,0.3068,-0.1917,0.0002,366,yes
CAGR%,level,3,-0.0438,0.4033,-0.1841,0.0004,366,yes
Sharpe,level,3,-0.2534,0.0,-0.1785,0.0006,366,yes
AvgDailyRet%,level,3,-0.2189,0.0,-0.1719,0.001,366,yes
Sortino,level,3,-0.0321,0.5405,-0.1282,0.0141,366,yes
Sharpe,delta,3,0.0104,0.8431,-0.0593,0.2583,365,
AvgDailyRet%,delta,3,-0.0057,0.914,-0.0373,0.4778,365,
CAGR%,delta,3,0.0274,0.6014,-0.0277,0.5981,365,
Sortino,delta,3,0.0173,0.7419,-0.0187,0.7221,365,
Calmar,delta,3,0.0139,0.7912,-0.004,0.9395,365,
Calmar,level,5,-0.0788,0.1336,-0.2598,0.0,364,yes
CAGR%,level,5,-0.0763,0.1461,-0.2486,0.0,364,yes
AvgDailyRet%,level,5,-0.2874,0.0,-0.2372,0.0,364,yes
Sharpe,level,5,-0.3327,0.0,-0.2371,0.0,364,yes
Sortino,level,5,-0.0502,0.3391,-0.1828,0.0005,364,yes
Sharpe,delta,5,-0.0146,0.7822,-0.0311,0.5544,363,
Sortino,delta,5,0.0024,0.9632,0.0141,0.7896,363,
Calmar,delta,5,0.0046,0.9297,0.0137,0.7947,363,
AvgDailyRet%,delta,5,0.0,0.9993,-0.0093,0.8593,363,
CAGR%,delta,5,0.0116,0.8258,-0.0082,0.8762,363,
