Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sharpe,delta,1,-0.0078,0.883,0.0189,0.7221,357,
AvgDailyRet%,level,1,-0.023,0.6555,-0.0106,0.8366,378,
CAGR%,level,1,-0.0997,0.0527,-0.0105,0.8392,378,
Sortino,delta,1,-0.0651,0.2072,0.01,0.8463,377,
CAGR%,delta,1,-0.0403,0.4348,0.0099,0.8486,377,
Sharpe,level,1,0.0061,0.9084,0.0077,0.8848,358,
Calmar,level,1,-0.0831,0.1385,0.0049,0.9301,319,
AvgDailyRet%,delta,1,-0.0288,0.5775,0.0044,0.932,377,
Sortino,level,1,-0.0336,0.5147,-0.0013,0.9797,378,
Calmar,delta,1,-0.0667,0.2358,0.0008,0.9883,318,
Sharpe,level,3,0.0225,0.6722,0.059,0.2667,356,
Sortino,level,3,0.0197,0.7037,0.0553,0.2849,376,
Calmar,level,3,-0.0435,0.4407,0.0521,0.3551,317,
Calmar,delta,3,-0.0675,0.2313,0.0461,0.4143,316,
Sharpe,delta,3,-0.0299,0.5747,0.0403,0.449,355,
Sortino,delta,3,-0.0243,0.6394,0.0332,0.5215,375,
AvgDailyRet%,level,3,-0.0084,0.8716,0.0282,0.5851,376,
CAGR%,level,3,-0.0981,0.0575,0.023,0.656,376,
CAGR%,delta,3,-0.062,0.2312,0.0137,0.7918,375,
AvgDailyRet%,delta,3,-0.0707,0.172,0.0115,0.8237,375,
Sharpe,delta,5,0.0149,0.7809,0.0582,0.2756,353,
Sharpe,level,5,0.0317,0.5516,0.0533,0.3169,354,
Sortino,delta,5,-0.0021,0.9671,0.0499,0.3365,373,
Calmar,level,5,-0.0514,0.3629,0.0419,0.4587,315,
CAGR%,delta,5,-0.0622,0.231,0.0364,0.4839,373,
AvgDailyRet%,level,5,0.0129,0.8041,0.0304,0.5573,374,
Calmar,delta,5,-0.051,0.3682,0.0293,0.6048,314,
AvgDailyRet%,delta,5,-0.0177,0.7338,0.0284,0.5846,373,
Sortino,level,5,0.0187,0.7188,0.021,0.6856,374,
CAGR%,level,5,-0.0647,0.2121,0.0193,0.7102,374,
