Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
CAGR%,delta,1,-0.0277,0.5965,-0.0638,0.2229,367,
Sortino,delta,1,-0.0,1.0,-0.0609,0.2442,367,
AvgDailyRet%,delta,1,-0.0686,0.1895,-0.0537,0.3045,367,
Sharpe,delta,1,-0.059,0.2596,-0.0478,0.3616,367,
Sharpe,level,1,-0.0174,0.7387,0.0398,0.4468,368,
CAGR%,level,1,-0.0458,0.3814,0.0321,0.5397,368,
Calmar,level,1,-0.0624,0.2327,0.0315,0.5466,368,
Calmar,delta,1,-0.03,0.5661,-0.0251,0.6318,367,
Sortino,level,1,-0.0081,0.8775,0.0221,0.6726,368,
AvgDailyRet%,level,1,-0.035,0.5038,0.0184,0.7246,368,
Sharpe,level,3,-0.0124,0.8128,0.093,0.0755,366,
Sortino,level,3,-0.0098,0.8522,0.0898,0.0863,366,
AvgDailyRet%,delta,3,-0.0887,0.0904,-0.0864,0.0995,365,
Calmar,level,3,-0.0696,0.184,0.0778,0.1373,366,
CAGR%,level,3,-0.0632,0.2276,0.0768,0.1423,366,
Sharpe,delta,3,-0.0852,0.1041,-0.0767,0.1435,365,
Sortino,delta,3,-0.0191,0.7166,-0.0708,0.1772,365,
CAGR%,delta,3,-0.0117,0.8233,-0.061,0.245,365,
AvgDailyRet%,level,3,-0.0427,0.4149,0.0583,0.2657,366,
Calmar,delta,3,-0.0279,0.5949,-0.0556,0.2898,365,
Sortino,level,5,0.0024,0.9631,0.1152,0.0279,364,yes
Sharpe,level,5,-0.0018,0.9733,0.1099,0.036,364,yes
Calmar,level,5,-0.0736,0.161,0.0993,0.0585,364,
CAGR%,level,5,-0.0822,0.1173,0.0832,0.1128,364,
AvgDailyRet%,level,5,-0.0451,0.3912,0.0696,0.1853,364,
AvgDailyRet%,delta,5,-0.0158,0.7638,-0.0649,0.2175,363,
Sortino,delta,5,-0.0166,0.7529,-0.0479,0.3623,363,
Sharpe,delta,5,-0.0426,0.4181,-0.0461,0.3817,363,
CAGR%,delta,5,-0.0085,0.8715,-0.0436,0.4071,363,
Calmar,delta,5,-0.022,0.6757,-0.0359,0.4957,363,
