Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sharpe,delta,1,-0.0967,0.0641,-0.0874,0.0944,367,
AvgDailyRet%,delta,1,-0.0763,0.1448,-0.074,0.1571,367,
Sortino,delta,1,-0.1912,0.0002,-0.0724,0.1664,367,
Calmar,level,1,-0.0562,0.2819,0.0698,0.1817,368,
CAGR%,level,1,-0.0416,0.4262,0.0665,0.2029,368,
CAGR%,delta,1,-0.0621,0.2353,-0.0656,0.21,367,
Sharpe,level,1,0.0156,0.765,0.0611,0.2424,368,
AvgDailyRet%,level,1,0.0039,0.9404,0.0583,0.2645,368,
Sortino,level,1,-0.0344,0.5112,0.0509,0.33,368,
Calmar,delta,1,-0.0544,0.2991,-0.0071,0.8927,367,
Sortino,level,3,0.0261,0.6187,0.0921,0.0786,366,
Sharpe,level,3,0.0591,0.2592,0.09,0.0854,366,
CAGR%,level,3,-0.0359,0.493,0.0791,0.1311,366,
AvgDailyRet%,level,3,0.0279,0.5947,0.0759,0.1474,366,
Sharpe,delta,3,-0.101,0.0538,-0.0715,0.1727,365,
Calmar,level,3,-0.054,0.3029,0.0707,0.1772,366,
AvgDailyRet%,delta,3,-0.0731,0.1636,-0.0663,0.2065,365,
CAGR%,delta,3,-0.0288,0.5829,-0.053,0.3126,365,
Sortino,delta,3,-0.0795,0.1296,-0.0514,0.3273,365,
Calmar,delta,3,-0.0368,0.4828,-0.0352,0.5027,365,
Sortino,level,5,0.038,0.4695,0.1001,0.0564,364,
Sharpe,level,5,0.092,0.0795,0.0906,0.0842,364,
CAGR%,level,5,-0.0436,0.4068,0.0723,0.1687,364,
Calmar,level,5,-0.06,0.2537,0.0718,0.1715,364,
AvgDailyRet%,level,5,0.0449,0.3934,0.0686,0.1916,364,
Sharpe,delta,5,-0.0612,0.2445,-0.0573,0.276,363,
AvgDailyRet%,delta,5,-0.0405,0.4415,-0.0521,0.3223,363,
CAGR%,delta,5,-0.0189,0.7196,-0.0336,0.5229,363,
Sortino,delta,5,-0.0555,0.2919,-0.0332,0.5279,363,
Calmar,delta,5,-0.0271,0.6071,-0.0244,0.6429,363,
