period,n,win_rate,avg,avg_win,avg_loss,best,worst,n_wins,n_losses
daily,398,0.153266,0.01867,0.20318,-0.095447,0.5352,-0.32055,61,52
weekly,56,0.553571,0.135527,0.308414,-0.131419,1.352946,-0.369305,31,15
monthly,13,0.692308,0.721236,1.104289,-0.140634,3.722648,-0.189484,9,4
