trial,L_HIGH,PORT_SL,PORT_TSL,EARLY_KILL_X,EARLY_KILL_Y,EARLY_FILL_Y,EARLY_FILL_X,Sharpe,CAGR%,MaxDD%,Calmar,WF_CV
0,3.164374,-0.058900,0.083068,37,0.002026,0.124245,931,2.938600,11178.850000,-80.171000,139.437000,0.830500
1,3.171639,-0.053306,0.073884,34,0.004024,0.100358,969,2.297500,2092.100000,-81.723000,25.600000,0.798000
2,2.966049,-0.055090,0.076228,31,0.003786,0.099480,929,2.346400,2076.680000,-80.222000,25.887000,0.765100
3,2.912716,-0.068473,0.083845,38,0.002267,0.087604,489,3.503100,14746.960000,-48.469000,304.254000,0.544200
4,2.792574,-0.063295,0.080507,40,0.002582,0.080673,751,2.810100,3084.480000,-57.009000,54.105000,0.670400
5,2.813683,-0.053339,0.074453,32,0.003408,0.085475,975,2.839200,4330.560000,-49.022000,88.339000,0.454700
6,3.120159,-0.056623,0.082476,38,0.002730,0.074760,882,3.332300,7436.930000,-42.539000,174.827000,0.599100
7,2.783851,-0.054598,0.063916,38,0.003396,0.104772,943,3.212100,12485.180000,-52.425000,238.155000,0.468200
8,2.975349,-0.061237,0.066895,31,0.003404,0.087919,810,2.777900,4754.050000,-60.595000,78.456000,0.500700
9,3.158999,-0.062425,0.076206,36,0.002529,0.056219,731,3.745600,9968.110000,-47.875000,208.209000,0.608200
10,2.828751,-0.058354,0.082952,32,0.001940,0.074260,643,2.395600,1614.550000,-54.070000,29.860000,0.618800
11,3.097150,-0.061027,0.081388,37,0.002775,0.112609,565,2.959900,9425.190000,-80.524000,117.048000,0.808900
12,2.713627,-0.052621,0.080003,35,0.002187,0.090075,556,3.478400,10559.090000,-47.160000,223.899000,0.481300
13,3.117792,-0.059031,0.072323,33,0.003313,0.080051,516,2.410100,2157.760000,-66.383000,32.505000,0.753900
14,2.770804,-0.068314,0.084193,37,0.002438,0.123781,942,2.859100,6720.830000,-76.425000,87.940000,0.859600
15,3.130134,-0.059089,0.069875,31,0.003966,0.086816,587,2.456600,2380.760000,-70.899000,33.580000,0.784900
16,2.883574,-0.061426,0.067727,39,0.003620,0.105801,728,3.233200,14675.380000,-55.276000,265.491000,0.486400
17,3.076385,-0.061514,0.078372,31,0.002798,0.056996,766,2.576800,1895.100000,-67.350000,28.138000,0.862200
18,2.897917,-0.053601,0.066077,36,0.002209,0.120609,820,2.859400,6987.160000,-71.840000,97.260000,0.738000
19,2.908122,-0.061636,0.064718,40,0.002958,0.110357,513,2.387300,2436.090000,-70.182000,34.711000,1.035000
20,2.991995,-0.059833,0.084851,36,0.002936,0.073222,666,3.363700,7505.560000,-43.361000,173.095000,0.616400
21,3.012403,-0.058900,0.064236,38,0.003951,0.064098,803,3.207200,4968.870000,-43.451000,114.355000,0.684800
22,2.765145,-0.063100,0.070078,37,0.003545,0.109343,528,3.021600,8129.440000,-69.630000,116.752000,0.739000
23,3.249607,-0.055144,0.064592,36,0.002690,0.113745,960,3.203100,23395.910000,-64.064000,365.197000,0.532400
24,2.890283,-0.068152,0.071560,35,0.002414,0.121395,563,2.922600,7642.480000,-77.177000,99.026000,0.855400
25,2.726946,-0.058832,0.086078,39,0.003597,0.118137,1012,2.796800,5836.390000,-75.451000,77.353000,0.947200
26,3.011315,-0.056687,0.081120,37,0.002697,0.060802,922,3.312700,4394.300000,-41.428000,106.072000,0.654500
27,2.857476,-0.067863,0.071256,31,0.003795,0.065036,572,2.013000,720.790000,-70.293000,10.254000,0.998000
28,3.059630,-0.066742,0.070079,33,0.003666,0.123972,770,2.398100,3120.300000,-81.577000,38.250000,1.311100
29,2.786339,-0.051251,0.068917,31,0.003426,0.062772,774,1.998100,652.550000,-71.664000,9.106000,0.890900
30,3.116557,-0.061460,0.068245,38,0.003517,0.107207,543,3.194500,18165.200000,-68.961000,263.413000,0.653000
31,2.774252,-0.067696,0.072696,33,0.002973,0.101726,1051,2.473200,2593.040000,-77.595000,33.417000,0.754500
32,2.871868,-0.067647,0.071029,36,0.003322,0.061625,548,3.408800,6185.370000,-40.483000,152.789000,0.642900
33,2.951469,-0.068392,0.077161,39,0.003730,0.087651,945,3.617300,14772.180000,-43.907000,336.441000,0.481800
34,2.710702,-0.052965,0.082412,38,0.002358,0.092215,835,3.498600,10258.290000,-46.552000,220.364000,0.492600
35,3.220643,-0.061856,0.073033,34,0.002822,0.100939,996,2.422400,2912.410000,-82.750000,35.195000,0.743800
36,2.972338,-0.055461,0.069075,37,0.003760,0.061580,503,3.358700,6793.660000,-40.889000,166.149000,0.674600
37,3.056660,-0.053631,0.082305,33,0.002145,0.120310,564,2.176300,1547.550000,-85.281000,18.146000,1.593100
38,2.870832,-0.053765,0.066349,30,0.001933,0.066574,495,2.414200,1977.690000,-62.192000,31.800000,0.751600
39,3.054686,-0.063253,0.072607,33,0.003011,0.117000,986,2.427000,2987.600000,-81.212000,36.788000,0.832600
40,2.726085,-0.054267,0.069077,32,0.003171,0.083971,492,2.525200,2461.500000,-56.638000,43.460000,0.672200
41,2.924168,-0.060428,0.066038,38,0.001925,0.120589,523,2.781500,5770.300000,-75.248000,76.684000,0.878800
42,3.206145,-0.067248,0.085790,38,0.003671,0.100259,942,3.137900,15607.670000,-61.569000,253.497000,0.513100
43,2.780731,-0.060649,0.075320,39,0.002911,0.081726,856,3.613600,9553.830000,-38.286000,249.537000,0.480900
44,2.859878,-0.053516,0.074502,34,0.002358,0.080461,688,2.702200,3181.130000,-52.194000,60.949000,0.530300
45,2.896497,-0.057830,0.079179,33,0.004077,0.119977,758,2.077700,1240.020000,-79.718000,15.555000,1.447100
46,2.897017,-0.060638,0.082843,37,0.003731,0.092356,852,3.593700,14619.360000,-48.335000,302.461000,0.509800
47,2.872893,-0.064228,0.068304,37,0.003866,0.063511,840,3.178200,3945.440000,-47.723000,82.674000,0.705200
48,2.757057,-0.064063,0.067266,39,0.002130,0.123039,955,3.133000,12273.510000,-65.719000,186.757000,0.647700
49,3.056209,-0.065087,0.081640,39,0.002408,0.096485,521,3.531300,19358.070000,-52.691000,367.388000,0.466800
50,3.069699,-0.054083,0.076461,36,0.002918,0.091629,933,3.573100,17208.450000,-47.164000,364.866000,0.443000
51,3.179547,-0.059859,0.077241,39,0.002087,0.062431,516,3.510300,9207.480000,-42.760000,215.329000,0.643000
52,3.094718,-0.058535,0.081172,37,0.002601,0.118682,932,2.911500,9489.750000,-79.417000,119.493000,0.893700
53,2.862321,-0.057555,0.070825,32,0.002155,0.121401,732,2.289900,2068.240000,-79.085000,26.152000,1.255300
54,2.929992,-0.064134,0.076192,39,0.003673,0.088515,694,3.664200,16013.170000,-42.972000,372.643000,0.478100
55,3.291979,-0.063920,0.085152,31,0.003841,0.099869,537,2.161600,1453.410000,-85.399000,17.019000,1.486200
56,3.052955,-0.063350,0.066517,35,0.003781,0.075266,744,3.057800,5279.970000,-48.900000,107.976000,0.598800
57,2.965388,-0.056435,0.084415,38,0.002065,0.125786,1004,2.931400,9724.110000,-79.144000,122.867000,0.836100
58,2.870345,-0.066064,0.069367,40,0.003398,0.100809,518,2.919100,7390.790000,-49.362000,149.727000,0.544600
59,3.238220,-0.051522,0.069169,31,0.003664,0.068271,1023,2.334600,1671.270000,-57.598000,29.016000,0.647800
60,3.093761,-0.051651,0.063872,31,0.003254,0.111707,609,2.249100,1934.610000,-82.292000,23.509000,0.904000
61,3.209645,-0.052030,0.081772,39,0.003653,0.104265,978,3.130700,15663.460000,-58.859000,266.120000,0.420800
62,2.724091,-0.054632,0.066561,35,0.003588,0.099361,986,3.143200,8989.080000,-52.021000,172.798000,0.502500
