Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sharpe,level,1,-0.0824,0.1145,-0.0312,0.5506,368,
Calmar,level,1,-0.0142,0.786,-0.0296,0.5709,368,
Calmar,delta,1,0.0422,0.4205,0.0286,0.5855,367,
Sortino,level,1,-0.0691,0.1862,-0.0275,0.5993,368,
CAGR%,delta,1,0.0444,0.3964,0.0251,0.632,367,
CAGR%,level,1,-0.0124,0.8121,-0.0209,0.6899,368,
AvgDailyRet%,level,1,-0.0654,0.2105,-0.0141,0.7879,368,
Sharpe,delta,1,-0.0066,0.8992,-0.0093,0.8596,367,
Sortino,delta,1,0.0168,0.7478,-0.0062,0.9064,367,
AvgDailyRet%,delta,1,-0.0126,0.8103,-0.0048,0.9269,367,
Sharpe,level,3,-0.1235,0.0181,-0.1066,0.0416,366,yes
Sortino,level,3,-0.1177,0.0243,-0.1046,0.0455,366,yes
Calmar,level,3,-0.0814,0.1201,-0.1025,0.05,366,
CAGR%,level,3,-0.0812,0.1209,-0.0961,0.0663,366,
AvgDailyRet%,level,3,-0.0968,0.0642,-0.0816,0.119,366,
Sharpe,delta,3,-0.0682,0.1937,-0.0333,0.5262,365,
AvgDailyRet%,delta,3,-0.0362,0.4908,-0.0264,0.6153,365,
Sortino,delta,3,-0.0083,0.8741,-0.0216,0.6803,365,
CAGR%,delta,3,0.0548,0.2967,0.0075,0.8865,365,
Calmar,delta,3,0.0496,0.3448,0.0062,0.9066,365,
Sharpe,level,5,-0.1441,0.0059,-0.1529,0.0035,364,yes
Sortino,level,5,-0.1499,0.0042,-0.151,0.0039,364,yes
CAGR%,level,5,-0.1434,0.0061,-0.1454,0.0054,364,yes
Calmar,level,5,-0.1412,0.007,-0.1444,0.0058,364,yes
AvgDailyRet%,level,5,-0.1226,0.0193,-0.1299,0.0131,364,yes
Sharpe,delta,5,-0.0505,0.3376,-0.047,0.3722,363,
Sortino,delta,5,-0.0273,0.604,-0.0463,0.3792,363,
CAGR%,delta,5,0.0165,0.7543,-0.0411,0.4354,363,
AvgDailyRet%,delta,5,-0.0244,0.6434,-0.0398,0.4493,363,
Calmar,delta,5,0.0154,0.7695,-0.0391,0.4582,363,
