PORT_SL,PORT_TSL,EARLY_KILL_Y,Sharpe,CAGR_pct,MaxDD_pct,Calmar,WF_CV,baseline
-0.07,0.04,0.001,0.7448,-18.05,-91.567,-0.197,7.1412,False
-0.07,0.04,0.0015,0.674,-24.41,-90.1,-0.271,8.4717,False
-0.07,0.04,0.003,1.2631,135.95,-81.579,1.667,4.3861,False
-0.07,0.045,0.001,1.1769,86.36,-89.373,0.966,4.026,False
-0.07,0.045,0.0015,1.2243,111.03,-87.717,1.266,3.7148,False
-0.07,0.045,0.003,1.1233,77.31,-84.559,0.914,5.8817,False
-0.07,0.05,0.001,1.6965,380.25,-92.212,4.124,3.4809,False
-0.07,0.05,0.0015,1.6606,351.69,-90.836,3.872,3.5116,False
-0.07,0.05,0.003,1.9077,601.88,-82.263,7.316,3.611,False
-0.07,0.055,0.001,2.3929,1747.45,-84.103,20.777,1.0106,False
-0.07,0.055,0.0015,2.3511,1518.7,-80.625,18.837,0.9007,False
-0.07,0.055,0.003,2.6701,2714.42,-61.519,44.123,0.7698,False
-0.07,0.06,0.001,2.039,828.8,-88.39,9.377,1.147,False
-0.07,0.06,0.0015,2.0069,758.24,-85.449,8.874,1.0211,False
-0.07,0.06,0.003,2.4435,1813.85,-64.943,27.93,0.8341,False
-0.07,0.065,0.001,1.9282,637.56,-83.568,7.629,1.1661,False
-0.07,0.065,0.0015,1.8629,541.06,-82.32,6.573,1.0774,False
-0.07,0.065,0.003,2.2477,1227.17,-63.661,19.277,0.9161,False
-0.07,0.075,0.001,2.6154,2580.21,-70.438,36.631,0.879,False
-0.07,0.075,0.0015,2.4689,1778.15,-69.292,25.662,0.858,False
-0.07,0.075,0.003,2.8096,2963.85,-53.047,55.872,0.8155,False
-0.07,0.08,0.001,2.5187,2128.67,-77.179,27.581,0.9161,False
-0.07,0.08,0.0015,2.3754,1495.14,-76.542,19.534,0.8826,False
-0.07,0.08,0.003,2.8181,3011.87,-50.458,59.691,0.7963,False
-0.07,0.085,0.001,2.5986,2493.8,-68.837,36.227,0.8303,False
-0.07,0.085,0.0015,2.4569,1755.75,-67.968,25.832,0.7812,False
-0.07,0.085,0.003,2.9654,3804.48,-50.112,75.919,0.7198,False
-0.07,0.09,0.001,2.5461,2270.1,-68.705,33.042,0.844,False
-0.07,0.09,0.0015,2.3967,1572.41,-67.831,23.181,0.7982,False
-0.07,0.09,0.003,2.892,3387.84,-51.138,66.249,0.7272,False
-0.07,0.095,0.001,2.583,2501.29,-68.411,36.563,0.8511,False
-0.07,0.095,0.0015,2.4301,1719.25,-67.53,25.459,0.8057,False
-0.07,0.095,0.003,2.9231,3650.57,-51.138,71.387,0.7301,False
-0.07,0.1,0.001,2.5719,2448.09,-68.317,35.834,0.8536,False
-0.07,0.1,0.0015,2.4181,1680.66,-67.433,24.923,0.8077,False
-0.07,0.1,0.003,2.9204,3633.16,-51.138,71.047,0.7308,False
-0.07,0.105,0.001,2.4616,1958.9,-74.418,26.323,0.8747,False
-0.07,0.105,0.0015,2.3031,1337.46,-73.704,18.146,0.8278,False
-0.07,0.105,0.003,2.8083,3052.24,-51.138,59.687,0.7359,False
-0.07,0.11,0.001,2.4521,1924.16,-74.418,25.856,0.877,False
-0.07,0.11,0.0015,2.2979,1324.71,-73.704,17.973,0.828,False
-0.07,0.11,0.003,2.8025,3022.76,-51.138,59.11,0.7359,False
-0.07,0.115,0.001,2.4872,2038.96,-74.418,27.399,0.8723,False
-0.07,0.115,0.0015,2.3502,1463.08,-73.704,19.851,0.8248,False
-0.07,0.115,0.003,2.8556,3307.98,-49.853,66.354,0.7221,False
-0.07,0.12,0.001,2.4789,2005.42,-74.418,26.948,0.8723,False
-0.07,0.12,0.0015,2.3415,1438.57,-73.704,19.518,0.8248,False
-0.07,0.12,0.003,2.8357,3201.2,-49.853,64.213,0.7224,False
-0.07,0.125,0.001,2.4789,2005.42,-74.418,26.948,0.8723,False
-0.07,0.125,0.0015,2.3415,1438.57,-73.704,19.518,0.8248,False
-0.07,0.125,0.003,2.8357,3201.2,-49.853,64.213,0.7224,False
-0.07,0.13,0.001,2.4789,2005.42,-74.418,26.948,0.8723,False
-0.07,0.13,0.0015,2.3415,1438.57,-73.704,19.518,0.8248,False
-0.07,0.13,0.003,2.8357,3201.2,-49.853,64.213,0.7224,False
-0.08,0.04,0.001,0.7448,-18.05,-91.567,-0.197,7.1412,False
-0.08,0.04,0.0015,0.674,-24.41,-90.1,-0.271,8.4717,False
-0.08,0.04,0.003,1.2631,135.95,-81.579,1.667,4.3861,False
-0.08,0.045,0.001,1.1769,86.36,-89.373,0.966,4.026,False
-0.08,0.045,0.0015,1.2243,111.03,-87.717,1.266,3.7148,False
-0.08,0.045,0.003,1.1233,77.31,-84.559,0.914,5.8817,False
-0.08,0.05,0.001,1.6965,380.25,-92.212,4.124,3.4809,False
-0.08,0.05,0.0015,1.6606,351.69,-90.836,3.872,3.5116,False
-0.08,0.05,0.003,1.9077,601.88,-82.263,7.316,3.611,False
-0.08,0.055,0.001,2.3929,1747.45,-84.103,20.777,1.0106,False
