L_BASE,L_HIGH,VOL_LEV_MAX_BOOST,Sharpe,CAGR_pct,MaxDD_pct,Calmar,WF_CV,baseline
0.0,0.8,1.0,2.9187,222.65,-13.41,16.603,0.7517,False
0.0,0.8,2.0,3.3215,431.18,-16.418,26.264,0.5635,False
0.0,0.8,2.5,3.2993,439.31,-18.581,23.643,0.6011,False
0.0,0.8,3.0,3.3064,442.2,-18.701,23.646,0.6048,False
0.0,0.9,1.0,2.9187,268.81,-14.984,17.94,0.7517,False
0.0,0.9,2.0,3.3215,541.64,-18.334,29.543,0.5635,False
0.0,0.9,2.5,3.3236,551.52,-19.505,28.277,0.5841,False
0.0,0.9,3.0,3.3341,556.99,-19.505,28.557,0.5857,False
0.0,1.0,1.0,2.9187,320.42,-16.535,19.378,0.7517,False
0.0,1.0,2.0,3.3215,671.83,-20.221,33.224,0.5635,False
0.0,1.0,2.5,3.3417,687.62,-20.484,33.568,0.5705,False
0.0,1.0,3.0,3.3505,693.93,-20.484,33.876,0.5718,False
0.0,1.1,1.0,2.9187,377.97,-18.065,20.923,0.7517,False
0.0,1.1,2.0,3.3215,824.59,-22.079,37.347,0.5635,False
0.0,1.1,2.5,3.3457,846.85,-22.079,38.355,0.5668,False
0.0,1.1,3.0,3.3479,849.02,-22.079,38.453,0.5671,False
0.0,1.2,1.0,2.9187,441.93,-19.573,22.579,0.7517,False
0.0,1.2,2.0,3.3215,1003.08,-23.909,41.954,0.5635,False
0.0,1.2,2.5,3.3385,1022.79,-23.909,42.778,0.5658,False
0.0,1.2,3.0,3.3385,1022.79,-23.909,42.778,0.5658,False
0.0,1.3,1.0,2.9187,512.81,-21.059,24.351,0.7517,False
0.0,1.3,2.0,3.3215,1210.71,-25.71,47.09,0.5635,False
0.0,1.3,2.5,3.3298,1222.69,-25.71,47.556,0.5646,False
0.0,1.3,3.0,3.3298,1222.69,-25.71,47.556,0.5646,False
0.0,1.4,1.0,2.9187,591.15,-22.525,26.244,0.7517,False
0.0,1.4,2.0,3.3215,1451.22,-27.483,52.803,0.5635,False
0.0,1.4,2.5,3.3218,1451.6,-27.483,52.817,0.5635,False
0.0,1.4,3.0,3.3218,1451.6,-27.483,52.817,0.5635,False
0.0,1.5,1.0,2.9187,677.45,-23.969,28.264,0.7517,False
0.0,1.5,2.0,3.3215,1728.63,-29.229,59.142,0.5635,False
0.0,1.5,2.5,3.3215,1728.63,-29.229,59.142,0.5635,False
0.0,1.5,3.0,3.3215,1728.63,-29.229,59.142,0.5635,False
0.0,1.6,1.0,2.9187,772.26,-25.393,30.413,0.7517,False
0.0,1.6,2.0,3.3215,2047.25,-30.946,66.155,0.5635,False
0.0,1.6,2.5,3.3215,2047.25,-30.946,66.155,0.5635,False
0.0,1.6,3.0,3.3215,2047.25,-30.946,66.155,0.5635,False
0.0,1.7,1.0,2.9187,876.11,-26.796,32.696,0.7517,False
0.0,1.7,2.0,3.3215,2411.67,-32.637,73.895,0.5635,False
0.0,1.7,2.5,3.3215,2411.67,-32.637,73.895,0.5635,False
0.0,1.7,3.0,3.3215,2411.67,-32.637,73.895,0.5635,False
0.0,1.8,1.0,2.9187,989.53,-28.179,35.116,0.7517,False
0.0,1.8,2.0,3.3215,2826.73,-34.3,82.412,0.5635,False
0.0,1.8,2.5,3.3215,2826.73,-34.3,82.412,0.5635,False
0.0,1.8,3.0,3.3215,2826.73,-34.3,82.412,0.5635,False
0.0,2.0,1.0,2.9187,1247.12,-30.885,40.38,0.7517,False
0.0,2.0,2.0,3.3215,3829.18,-37.546,101.985,0.5635,False
0.0,2.0,2.5,3.3215,3829.18,-37.546,101.985,0.5635,False
