shock_pct,n_shocks,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_maxdd_pct,survived
0,0,3.7363,6484.63,-29.76,0.0,0.0,True
-10.0,1,3.6564,5878.17,-36.784,-0.0799,-7.024,True
-10.0,3,3.5533,5178.38,-44.809,-0.183,-15.049,True
-10.0,5,3.4264,4419.95,-53.397,-0.3099,-23.637,False
-20.0,1,3.5592,5266.08,-43.808,-0.1771,-14.048,True
-20.0,3,3.2715,3717.39,-61.238,-0.4648,-31.477,False
-20.0,5,2.9734,2533.77,-74.139,-0.763,-44.378,False
-30.0,1,3.4471,4647.59,-50.832,-0.2892,-21.072,False
-30.0,3,2.9644,2543.72,-74.032,-0.7719,-44.272,False
-30.0,5,2.5046,1327.78,-86.736,-1.2317,-56.975,False
-40.0,1,3.3228,4021.71,-57.856,-0.4135,-28.096,False
-40.0,3,2.649,1629.93,-83.647,-1.0873,-53.887,False
-40.0,5,2.0531,604.17,-93.863,-1.6832,-64.103,False
