window_days,min_cum_ret,start_idx,end_idx
1,-0.176065,283,283
3,-0.265210,72,74
7,-0.241340,228,234
14,-0.228910,286,299
21,-0.235661,90,110
30,-0.161615,85,114
40,-0.117120,89,128
50,0.027225,158,207
60,0.323510,145,204
70,0.327256,264,333
80,0.529083,260,339
90,0.694472,249,338
100,0.769419,16,115
