n_removed,days_removed,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,3.7363,6484.63,-29.76,0.0,0.0
1,39.2%,3.6074,4808.1,-29.76,-0.129,-1676.53
3,"39.2%, 36.8%, 35.8%",3.3339,2723.3,-29.76,-0.4025,-3761.34
5,"39.2%, 36.8%, 35.8%, 31.0%, 27.1%",3.0539,1688.83,-36.274,-0.6824,-4795.8
10,"39.2%, 36.8%, 35.8%, 31.0%, 27.1% … +5 more",2.3303,573.91,-47.136,-1.406,-5910.72
